stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.91,1.02,4.54,0,0,0,0,0,0,0,0,0,0,6.03,0,1.06,60.67,0.89,0,0.87,2.29,0,2.96,31.51,0,0,0
 24-34,0,0,2.1,0,16.44,0,0,0,0.73,0,0.79,0,0,0,0,4.61,0,0,205.52,4.26,2.43,1.58,0,0,0.64,54.09,4.41,0,0
 36-46,0,0,0.77,0,15.93,0,0,26.16,0,1.47,0,0,3.76,2.4,0,8.09,0,3.91,102.64,3.95,0.78,0,0.72,0,0,25.44,0.56,0,0
 48-58,0,0,0,0,17.29,0,0,35.02,0,0.39,0,0,0,0,0,10.57,0,0.4,58.01,7.28,2.45,0.8,0,0,0,21.49,4.12,0,1.18
 60-70,0,0,0,0,60.69,0,0.64,44.48,0.62,2.87,0,6.06,0.63,0.81,0,26.22,0,3.43,78.71,1.17,0,4,15.58,0,0,22.25,0,0,0
 72-82,0,0,0.63,0,43.79,1.29,0,68.64,0,0,0,0,1.95,0,0,36.57,0,7.11,35.36,0,0,3.56,0.51,0,0,14.52,3.96,0.49,0
 84-94,0,1.01,4.71,0,12.57,0,0,66.95,0.71,0,0,0,0,0,0,27.45,0,3.37,11.21,0,1.26,0.97,2.46,0,0,2.08,4.22,0,0
 96-106,0,0,2.49,9.99,45.41,0,0,57.26,0,0,0,0,0,1.13,0.77,28.8,1.16,4.44,36.24,0,2.89,2.1,0.57,0,0,0.97,0,0,4.61
108-118,1.03,0,0.51,2.41,29.6,1.18,0,65.05,0.49,0,0,0,0,0.9,0,18.91,0,6.34,47.3,0,0,0.44,0,0.43,0,3.25,6.14,0,2.32
120,3.29,0,0,0,48.61,0,0,121.62,0,0,0,0,0,0,0,21.39,0,0,86.28,0,0,0,6.41,0,0,0,0,0,0
