stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.51,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0
 24-34,0.71,0,0,473.98,0.61,0.8,0,0,0,0,0,0.63,0,0,0.65,0,0,35.37,0,0,0,0,0,5.94,0,0.67,0,0
 36-46,0.92,0,0,1656.72,0,0,3.36,0,0,0,0,0,5.03,8.43,4.68,0,1.8,66,0,1.14,0,0,12.58,9.13,0,0,0,5.56
 48-58,0.5,0,0,1088.4,6.72,0,3.04,0,0,0,0,0,0,0.62,2.78,0,0,54.06,0,0.69,0,0,0.4,3.73,0,1.23,0,0
 60-70,0,0.58,0,1890.67,0,0,3.71,0,0,0,0.93,0.72,0,0,3.33,0,0,28.12,0,0,0,0,4.44,6.85,0,0,0,0
 72-82,1.62,5.77,0,1879.78,0,0.68,7.57,0,0,0,0,0,0,0,11.24,0,1.09,25.61,0,0,0,0,0,20.71,0,0.93,0.61,0
 84-94,0,0,0,1299.16,0,0,0,0,0.79,18.08,0,0,0,0,2.72,0,0,11.95,1.64,0,0.55,0,1.09,0,8.56,2.17,0,0
 96-106,0,0,0,600.14,0,0,1.18,0,0,0,0,0,0,0,2.44,0,0,13.74,0,0,0,0,0.59,0,0,1.93,0,0
108-118,0.87,0,1.13,829.32,0,0,5.26,0.95,0,0,0,0,0,0,17.95,0,0,20.14,0,0,0.72,0,0.73,0,0,0.65,0,0
120,0,0,0,685.18,0,0,2.82,0,1,0,0,0,0,0,0,3.54,0,13.79,0,0,0,2.76,2.07,0,0,4.28,4.27,0
