stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,0,78.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.1,181.43,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.45,0,6.64,0,20.97,0,0,0,10.51,0,0,0,0,0,0,59.93,0,15.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.34,0,32.1,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,1.98,2.78,1.37,0.86,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0.74,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0.71,0.53,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.36,0,0,0,0,0,0,0,0,1.83,0,0,1.23,0.99,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.51,0,2.11,0,0,0,0,0,0.51,0,0,3.79,0,0,0,0,0,0,0,0,0,0,2.01
 84-94,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.47,0.77,0,1.02,0,0,2.42,0.84,0,4.3,0,0,0,0,0,3.66,1.61,0
108-118,0,0,0,0,0,1.87,0,2.85,1.97,0,0,0,6.64,0,0,0,2.57,0,0,2.98,0,0,0,0,0,0,0,4.85
120,0,0,8.73,0,4.45,0,1.31,0,0,0,3.37,0,0,2.03,2.08,0,16.27,0,0,48.76,0,0,0,0,0,0,3.54,0
