stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,407.14,7930.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.13,0,0,0,0,0,0,0,0,0,0
  5-6,223.33,3060.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.02,0,0,0,0,0,42.71,0,0,0,0,0,0,0,0,0,0
  7-9,15.75,8.06,19.03,0,0,5.24,0,0,0,0,0,13.6,0,0,0,0,0,0,0,0,0,313.77,9.37,0,0,84.66,0,0,102.79,0,0,0,0,0,0,0,0,0
 10-12,0,14.25,39.32,0,0,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.6,0,0,0,6.81,0,9.93,21.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,30.61,0.85,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,44.83,7.3,0,0,1.16,0,304.39,1.8,4.65,0,0,1.97,4.18,0,0,0,0
 24-34,0,0,0.63,28.82,0,5.46,0,0,0,0,0.63,12.32,0,8,0,0,0.8,4.95,10.33,0,0,79.72,0.67,1.19,1.28,0,0,1801.38,0,0,0,0,0,8.85,0,4.27,0,6.87
 36-46,0,0,0,21.47,0,6.59,1.18,20.69,0.63,5.72,0,0,0,4.75,0,5.07,0,1.12,21.65,0,0,65.58,0.57,0.66,0,0,0,2500.62,0,0,1.34,0,0,19.98,0,0,0,0
 48-58,0,0,0,26.07,1.42,32.6,0,15.19,0,14.73,0.44,20.95,0,1.15,0,0,0.83,4.73,30.05,0.97,1.87,113.39,0,1.37,0,0,0.56,2182.92,0,0,0,0,0,13.97,0,0.41,0,6.95
 60-70,0,0,0,22.51,0,26.33,1.33,15.63,4.25,2.06,0,9.2,0,7.1,0,0,0,2.25,9.25,0,0,48.18,0,0,0,0,0,1336.6,0,0,0,0,0,13.67,0,1.08,0,0
 72-82,0,0,0,39.49,6.34,8.82,2.31,5.26,0,4.96,0.63,10.72,0,2.64,0.54,0,0,25.89,4.5,0,0,61.57,9.68,0,0,0,0,618.04,0,0,0,3.45,0,11.59,4.54,5.37,0,0
 84-94,0,0,0,46.12,0,50.37,0,18.31,0,2.02,0,21.05,1.5,11.03,0.76,0,0,7.52,9.39,0,0,16.53,0,0,1.75,0,0,1459.13,0,0,0,0,0,0,0.62,2.03,2.34,0
 96-106,0,0,0,30.85,12.74,38,1.11,5.59,0,4.09,2.1,0,0,7.97,0,0.67,0,32.08,9.87,0,0,42.4,0,1.09,0,0,2.95,654.64,0,0,0,0,0,7.2,2.7,0,0,1.06
108-118,0,0,0,36.39,0,14.77,0.42,13.57,0,7.81,1.15,0,0,6.74,0.56,9.27,0,5.28,18.57,0,0,38.24,0,0,4.39,0,0,514.19,0.42,0,0,0,0,0,2.44,0.45,0,0
120,0,0,0,22.31,0,14.12,0,16.09,0,0,0,0,0,11.44,0,0,0,0,6.48,0,0,17.18,0,0,0,0,0,356.35,0,0,0,0,0,0,2.39,3.92,0,0
