stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.67,382.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.38,0,0,0,0,0,0,0,0,0
  5-6,8.7,196.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.71,0,0,0,20.67,0,0,7.71,0,0,0,0,0,0,0,0
 10-12,0,4.98,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.41,0,0,0,41.71,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.54,0,0,2.87,0,0,0,1.05,0,0,0,0,0,5.26,0,0.92,0,0,0,31.35,0,0,0,0,0,0,0,1.87,3.37,20.9,0,0,0,0,0
 24-34,0,0,0,0,1.38,0,0,5.82,0,0,0,0,0,0,0,0,0,5.45,0,23.59,0,0,1.47,108.28,0.67,0.63,0,0,0,0,0,0,0.74,44.68,0,0,3.91,0,0
 36-46,0,0,0,0,0,0.58,0,5.68,0,2.01,5.21,0,0,6.81,0,0,0,5.71,0,18.97,0.6,0.89,3.66,353.13,0.55,4.45,0.61,0,0,0,0,0,0,131.94,0,0,2.53,0,1.43
 48-58,0,0,0,0,2.65,0,0,33.21,0,0,11.84,0,0.69,4.1,0,0,0,1.47,0,23.15,0,1.04,4.97,401.38,0,7.1,0,0,0,0,0,0,0,92.35,0,1.12,1.9,0,0
 60-70,0,0,0,0,0,0,0,72.41,0,0.98,9.04,0,0,0.76,0,5.47,0,0,0,38.45,0,1.67,6.86,548.21,0,3.16,0,0,2.16,1.13,0,0,0,87.34,0,0.82,1.11,0,0
 72-82,0,0,0.5,0,4.89,0,0,105.36,4.53,0,9.15,0,0,16.12,0,0,1.54,0,8.9,23.9,0,7.94,1.98,411.38,0,8.85,0,0,5.03,2.23,0,0,0,59.13,0,0.52,2.32,3.09,0
 84-94,0,0,0,1.04,6.14,0,0,95.27,0,2.84,4.44,0,0,9.98,0,0,0,0,0,33.41,0,4.12,2.31,385.59,0,9.9,2.34,0,0.77,0.97,0,0,0,46.62,0,0,0,2.26,0
 96-106,0,0,0,0,2.17,3.34,1.07,53.07,0,0,15.44,0,0,6.91,0,0,5.92,10.79,1.06,5.51,0,4.18,0.62,226.22,0,11.9,0.73,0,6.75,0.91,0,0,0,19.61,1.44,3.9,5.15,1.78,1.69
108-118,0,0,0,0,13.2,0,0,64.69,0,0.84,3.3,0,0,5.31,1.42,0.84,2.41,1.26,0.78,9.54,0,4.1,0,316.44,0,17.72,1.16,0,10.59,0,0,0,0,12.88,3.22,0,0,2.35,0
120,0,0,0,0,16.47,0,0,97.8,2.98,0,19.13,1.21,0,18.3,0,0,8.71,0,0,35.41,0,0,3.38,507.52,0,32.8,0,0,0,0,0,0,0,14.49,2.39,0,0,1.43,4.77
