stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.95,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.78,0,0,0,0,0,11.28,0,0,0,0,0,0
 14-21,0,0,0,2.18,9.9,0,0.8,0,0,0,12.95,0,0,19.27,0,0,0,0,2.66,0,0,1.02,35.4,0,0,0,0,0,2.38,2045.28,0,0,0,0,0
 24-34,0,0,2.71,1.22,0,0,2.79,0,0,0,9.96,0,0,23.17,0,0,0,0,50.1,0,0,36.19,36.64,0,0,0,0.84,0,0,1575.17,0,0,7.81,0,0
 36-46,16.91,0,1.54,2.85,1.54,0,1.41,0.67,0,0,3.08,0,0,30.6,0,0,0,0,21.63,0,0,13.39,29.14,0.89,0,0,3.67,1.39,0,463.4,0,0,3.09,0,3.32
 48-58,0,0,0.94,5.15,0.64,0,6.02,0,0,2.81,97.27,0,0,34.35,0,0,0,0,18.07,0,0,2.08,85.29,0,0,0,0,0,0,124.22,0,0,4.54,0,5.29
 60-70,0,0,2.21,0,0,0,11.75,0,0,0,2722.72,0,0,13.09,0,16.43,0,0,11.44,0,0,2,98.03,0,0,0,0,0,3.72,90.12,0,0,0,0,6.79
 72-82,0,0,0.89,2.39,10.23,0,121.64,0,0,3.22,10030.4,0,0,50.07,0,24.08,3.25,0,51.39,0.61,2.13,2.37,117.41,0,0,0,10.38,0,2.8,54.16,4.75,0,1.05,0.71,8.8
 84-94,0,0,3,51.41,0,0,155.7,0,0,0,8293.94,1.64,0,145.24,0,15.66,0,0.59,188.29,0,0,8.41,280.17,0,1.3,0,14.71,0,0.91,25.15,0,0.71,1.22,0,20.04
 96-106,0,0,2.56,122.14,20.29,2.47,412.15,0,99.5,0,15643.3,7.12,0.61,87.65,0.63,4.95,0.71,5.58,116.68,1.91,5.1,7.37,490.21,2.25,7.79,0,37.31,0,1.02,37.92,0.66,1.15,7.72,1.5,7.15
108-118,0,0,12.71,17.45,1.5,26.29,125.98,0,0,2.4,20632.25,0.41,4.19,71.66,0.42,3.01,0,4.42,189.08,1.01,0,8.88,522.77,2.23,0,28.95,11.54,0,0,31.15,0,0.56,3.53,1.65,66.43
120,0,0,6.38,7.23,14.92,0,262.53,12.08,2.41,24.12,17727.35,10.55,0,37.14,4.02,0,0,41.84,204.55,0,0,15.29,361.78,1.15,0,9.18,3.4,0,1.21,111.41,0,0,19.89,0,30.21
