stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1.65,20.85,6.67,14.98,0,0,9.4,0.9,0,0,0.97,0,0,0,0,8.51,0,0,4.78,114.79,1.18,0,0,1.75,6.63,30.23,0,6.99,39.1,0,0,0,0
 24-34,1.41,5.84,4.58,56.41,0,0,3.23,0,0,0,0,0,0,0,6.62,33.2,0,0,6.74,439.15,0.99,4.33,3.78,0,8.78,0,0,0.61,90.17,0,0,4.23,0.6
 36-46,0,3.59,1.9,139.01,1.58,0,27.36,0,0,0,0,0,0,0,0,53.47,0,0.85,6.31,430.38,0,3.47,2.51,0,16.86,0,0.62,0,86.21,0,0,0,0
 48-58,0,6.56,1.06,190.72,0,1,21.47,0.43,0.47,0,10.6,0,0,1.08,0,26.08,1.22,2.31,8.69,318.63,0.56,1.29,3.42,0,1.07,0,0.52,0,61.62,0,0,0,0.8
 60-70,0,4.83,0,192.06,1.82,0,10.87,0,0,3.4,0,3.95,0.7,0,0,35.77,0,0.93,2.58,318.2,0,1.22,0,0,9.47,0,0,0,22.83,0,0,1.11,0
 72-82,0,14.77,1.89,107.34,0,1.22,19.52,1.33,0,0,0,0,0,0,0,46.86,0,1.01,5.69,165.53,0,1.45,0,0,2.32,0,0,0,12.44,0,0,5.81,0
 84-94,0,3.84,0.72,47.85,0.7,0,8.79,1.45,0,0.87,0.68,0,0,0,0,41.62,0,0,6.61,66.23,0,0.97,0,0,5.9,0,0,0,3.14,2.75,0,2.45,0
 96-106,0,4.07,0,36.31,1.3,0,13.81,0,0,0,0,1.88,0.9,0,0,25.13,0,0,1.65,64.69,0.85,0,0,0,2.64,0,0,0,3.03,4.84,0,4.47,0
108-118,0,2.83,2.29,72.58,0,1.88,5.4,2.14,0,1.02,2.58,0,0,0.9,0,12.52,2.96,2.73,1.95,92.53,0,0.86,0,0,1.11,0,0,0,2.39,0.51,0.67,1.61,0
120,0,10.17,6.7,54.22,0,4.11,7.39,0,0,3.93,0,0,1.84,3.28,0,43.2,0,2.08,5.76,173.5,0,0,0,0,0,0,0,0,0,0,0,2.07,0
