stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,83.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.78,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,11.61,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.84,0,3.43,0,0,30.12,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,113.7,8.92,0,0,18.02,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.9,21.45,0,0,20.16,0,0,0,11.27,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.37,2.01,4.54,0,0,0,8.87,0.92,0,0.97,0,0,0,0,0,4.26,0,8.2,104.5,0.87,0,5.37,1.96,0,0,10.86,0,0,7.33,29.06,0,0,1.1,0,0
 24-34,0,0,0,0.81,4.07,0,9.74,0,0,0,0,0.66,0,0,0,0,0,1.63,0.69,7.01,0,4.75,92.96,0.66,0,0.64,0,0,3.04,0,0,0,2.75,12.32,0,0,0.62,0,0
 36-46,0,0,0,0,1.6,1.72,14.91,0,0,0,5.23,0,0,0,0.73,1.72,0,0,0,13.8,0,1.88,115.68,0,0.75,0,0,0,4.23,0,0,0,0,8.86,0,0,0.82,0,0
 48-58,0,0,0.54,0,0,0,15.65,1.52,0,0,10.5,0,0,0,0,0,2.33,0.38,0.46,8,0.4,0.87,60.57,0,0,0.5,0,0,0,0,1.65,0,0,11.99,0,0.42,0,0,0
 60-70,0,0,0,0,9.67,0,37.03,0,0,0,9.99,0,0,0,0,0,0,0,0,18.91,0,0,37.12,1.1,1.51,4.56,0,0,2.13,0,0,0,0,10.51,0,0,0,0,0
 72-82,0,0,0,0,0.59,0,23.09,0,0,0,10.5,0.65,0,0,0.53,0,1.82,0,0,14.01,2.91,0,45.53,0,0,0,0,1.05,1.19,0,0,0.53,0,3.49,0,0,1.97,0,0
 84-94,0,0,0,0,1.29,0.68,12.46,0,0,0,1.43,0,0,0,0,0.55,0,0,0,11.71,0,0,33.48,0,0,0,0,0,1.54,0,0.56,0,0,0,2.55,0,2.23,0,0
 96-106,0,0,0.99,0,1.33,0,18.16,0,0,1.01,4.99,0.8,0,0,0,0,0.74,0.66,0.67,14.06,0,1.33,19.48,2.22,0,0,0,0,0.56,0,0,0,0,3.78,0,0.76,0,0.59,0.9
108-118,0,0,0,0,3.88,0,13.38,0,0.6,0.58,6.67,0,0,0,0,0,0,0,0,12.23,0.45,0.84,27.52,1.25,0,0,0,0,1.47,0,0,0,0,0.44,0.44,0,3.68,0,0
120,0,0,0,0,3.68,0,13.85,1.66,0,0,4.16,0,0,0,0,0,0,0,0,12.97,0,0,24.61,0,0,6.37,0,3.68,1.17,0,0,0,0,2.96,0,0,0,0,0
