stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.78,58.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,87.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,6.24,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0,2.16,94.08,0,0,0,0,0.86,1.16,0,0,0,336.33,0,0,0,0,0
 24-34,0,0,0,24.02,0,10.52,0,0,0,0,0,1.13,0,0.81,0,0,2.19,0,11.03,0,0,38.38,438.85,0,2.38,0,0,0.94,0,2.57,0.67,1.91,688.94,0,0,4.4,0,10.59
 36-46,0,0,0,5.14,0,16.48,0,0,0,0.91,0,0,0,0,0,0,0,0,18.76,0,0,41.81,1285.07,0.56,0,4.71,0,1.16,1.71,0,0,0,508.29,0,0,13.41,0,4.7
 48-58,0,0,1.63,4.14,0,87.42,0.68,2.94,0,14.41,0,0.94,0,0,0.4,0,0.41,0,30.28,0,0,45.47,1608.24,0,0.85,0,0,0,0,0,0,0,484.89,0,0,0,0,1.13
 60-70,0,0,0,4.95,0,372.37,0,0,0,9.78,0,0,0.79,0,0,0,0,0,31.08,0,0.99,31.67,3099.01,0,0,4.12,0,3.11,0,2.06,0,0,503.37,0,0,0.72,0,7.97
 72-82,0,0,6.53,8.88,4.66,1040.75,0,2.06,3.77,36.28,5.3,0,2.58,0,0,4.99,1.03,1.88,61.26,0,3.96,24.68,4207.13,0,7.58,2.19,0,5.84,0,0,0,0,830.36,0,6.86,1.2,1.39,23.32
 84-94,0,0,3.4,58.94,1.69,1055.81,0,0.86,0,49.91,2.8,1.66,0,0,12.05,0,1.67,0,78.19,0,2.44,32.97,3214.28,0.6,2.78,0.84,0,7.3,0,0,0,0,387.74,2.84,0,0,0.8,0
 96-106,0,0,2.63,17.18,5.16,949.99,1.36,2.09,0,124.69,5.83,2.51,2.51,8.38,0,2.37,0.61,0.67,33.72,0,2.92,20.85,2148.05,0,0,2.48,0,6.39,0,0,0,0,294.88,0.83,0.87,0.7,0,2.72
108-118,0,0,3.69,7.94,0,1000.13,0,1.44,1.32,41.3,0.91,0,1.69,1.82,0,0,0.56,0,39.07,0.73,0,12.76,3654.52,1,1.39,0,4.94,2.05,0,0,0,0,257.2,2.36,0.51,0,0,0.59
120,0,0,2.14,11.82,1.42,847.26,0,0,0,106.77,0,0,0,0,0,0,0,0,32.82,0,0,12.79,4493.38,0,0,0,12.2,0,0,0,0,0,34.51,0,0,0,0,0
