stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,492.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.56,175.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.47,0,3.21,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,1.52,0,0,0,4,0,0,0,0,0,0.82,256.48,41.18,2.23,0,0,0
 24-34,0,0,0,0,0.71,0,0,1.47,16.68,0,0,0,0,3.49,0,1.61,0,0.95,1.55,0,0,27.66,33.09,1.19,0,0,0,0,0,100.57,54.78,4.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,15.13,0,0,1.52,0,1.77,0,0,0,2.4,2.7,0,0,4.46,19.46,0,0,0,0.96,0.81,0,23.27,2.4,3.65,0,0,0.57
 48-58,0,0,0,0,0,0,0,10.73,19.53,1.07,0,0.47,0,3.26,0,0,0,1.66,2.33,0,0,2.32,13.65,6.36,0,0,0,0,0,14.55,0,5.35,1.11,0,0
 60-70,0,0,0,0,0,0,0,8.21,20.41,0,0,2.58,0,1.4,0,0,0,0,2.64,0,0,12.13,18.77,0,0.81,0,2.16,0,0,18.05,0,0,0,0,0.68
 72-82,0,0,0,0,0,1.35,0,16.51,17.64,0,0,1.19,0,0,0,0,0,0,6.99,0.89,1.28,2.73,12.37,0.72,1.13,0,0,0,0,4.39,0,3.79,0,0,0
 84-94,0,0,0,0,0.79,0,0,9.14,19.74,0,0,0,0.92,0.8,1.16,0,0,0,4.23,0,0,0.75,28.56,0,0,0,5.93,0,0,2.63,0,0,0,0,0
 96-106,0,0,0,0,2.94,19.93,0,19.77,39.77,0.58,0,0,0,3.14,0,0,0,0,4.18,0,0,2.03,30,0,0,1.17,4.55,0,0,6.6,0,0,0,0,0
108-118,0,0,0.95,0,9.67,1.5,0.45,15.43,27.15,0.42,0.6,2.62,0.45,0.47,0,2.23,0.61,2.99,0.74,0,1.05,6.16,26.39,0,0,1.37,0,0,0,5.12,0,0,0,2.22,0
120,0,0,0,0,3.44,0,0,0,21.99,0,0,0,1.92,4.85,0,0,0,0,2.1,0,0,4.75,39.6,0,0,0,7.35,0,1.12,5.24,0,0,0,0,0
