stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.02,0.82,0,0,0,0,0,0,0,0,0,0,0,8.97,0,0,2.09,0,0,0,0.94,1.33,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.43,0,2.04,2.71,1.41,0,0,2.17,1.7,0,2.84,0,0,0,0,0,0.64,0,0,0,0
 36-46,0.89,0,2.5,0,0,0,0,0,2.5,4.8,0,0,0,18.06,4.25,3.53,12.34,0,0,0,0,0,0,0,0,0,0
 48-58,2.89,0.77,2.93,0,0,0.4,0,0,2.05,13.06,0,0,0,12.65,9.7,3.2,2.34,0,0.39,0,0,0,2.72,0,0,0,0
 60-70,0,0,2.69,0,0,0,0,0,0.6,46.65,0,0.98,0,30.45,17.07,1.34,4.8,0.62,3.9,0,0,0,5.17,3.22,0,5,0
 72-82,0.52,6.1,7.97,0,0,8.42,5.52,0,1.97,49.81,0,0,0,89.85,39.86,10.33,13.43,2.26,17.84,1.37,0,0,2.05,12.03,1.81,24.24,4.74
 84-94,0,14.4,12.11,1.17,0,24.4,3.35,0,9.99,62.88,1.91,1.05,0.63,57.36,44.56,8.57,4.51,0,1.55,4.99,0,0,0,23.72,0,39.16,0
 96-106,0,15.5,3.52,0,10.23,6.76,9.99,0,1.6,91.21,1.98,0,0,85.03,27.94,15.68,7.52,0,38.26,0,0,0,3.09,15.91,0.57,30.97,0
108-118,0,4.45,2.67,0,0,20.35,0,1.17,5.73,76.49,3.83,0.81,0.96,122.31,35.24,9.88,28.59,0.86,59.03,0,0,0,1.12,11.05,2.41,17.44,0
120,7.85,7.98,0,0,1.19,10.08,14.66,0,4.06,136.01,2.99,0,0,113.11,59.05,15.52,41.19,0,27.2,0,0,0,0,2.55,9.93,46.68,0
