stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,57.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.36,3.26,0,0,0,15.71,0,0,0,0,9.11,0,0,0,0,0,0,0,0,0,0,60.81,0,0,0,17.04,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,29.68,0,75.16,0,0,0,0,0,0,55.3,0,0,0,0,0,0,0,0,0,0,231.94,0,0,0,72.74,0,0,0,103.46,0,0,0,0,0,0,0,0
 14-21,0,0,1.3,76.58,908.48,0,8.15,0,0,16.75,0,2.19,14.27,0,0,25.8,0.93,0,0,0,0,2.92,301.25,2.91,0,7.99,4.86,0,0,2.79,6.38,3.82,4.09,85.51,0,0,536.8,0,0
 24-34,0,0,0,60.07,107.69,0,5.15,0,0,10.33,0,0,74.64,0,1.58,170.99,9.2,0,4.28,1.02,0,1.76,239.92,0,14.42,5.42,0,0,3.17,0,0,0,2.5,43.4,0,0,1937.7,0,0
 36-46,0,0,0,13.01,60.36,0,8.62,0,0,8.23,0,0,14.58,0,0,121.71,8.48,1.09,13.7,0,0,0,201.25,0,4.57,27.61,0,0,0,0,0,0,0,53.83,0,0,1180.62,0,0
 48-58,0,0,0,10.35,10.31,0,15.33,0,0,4.12,0,0,51.74,0,0.97,79.16,1.04,0,3.39,0,0,3.7,181.63,0,3,19.48,0,0,5.32,0,0,0,0,14.66,0,0,923.26,0,5.06
 60-70,0,0,0,9.04,26.65,0,15.56,1.14,0,2.63,0.64,0,47.26,5.18,0,136.25,0,0,2.07,0,0,9.45,93.97,0,1.49,29.66,0,0,0,0,0,0,0,14.5,0.61,0,739.34,0,0
 72-82,0,0,0,3.74,0.55,0,17.38,1.86,1.35,3.15,3.4,0,40.93,0.94,0.54,97.6,0,0,13.86,0.74,0.96,0,68.82,0,1.67,13.81,0,0,0,0,0,0,0,6.38,8.16,2.53,1368.3,0,4.66
 84-94,0,0,0,3.86,0,0,19.17,0,0,4.43,3.46,0,34.57,1.26,0,155.1,0,0,20.37,0,0,1.6,34.26,0,1.63,33.03,0,0,0,0,0,0,0,3.49,4.91,0.84,1108.45,0.57,0
 96-106,0,0,0,3.85,5.55,5.8,26.23,0,0,5.67,4.04,0,41.79,2.97,1.04,172.83,0,0,18.36,0,0,0,105.39,0,1.81,19.1,0,0,4.35,0,2.02,0,0,0,12.3,0,1319.85,1.55,0
108-118,0.89,0,0.49,9.93,3.75,0.5,28.25,1,3.21,3.09,8.17,0,31.38,0.85,0.48,187.73,4.63,0,7.33,0,1.35,1.05,50.5,0,2.1,16.52,0,2.86,9.26,0,3.17,0,0,8.12,11.88,0.56,1156.42,1.31,0
120,0,0,0,8.2,6.81,0,17.62,2.34,0,0,4.07,0,50.91,0,0,99.51,0,0,1.87,0,0,10.04,124.77,0,0,12.06,0,0,0,0,0,0,0,5.3,5.81,0,1147.5,0,0
