stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.49,0,0,0,0,0,0,10.07,0,0,0,2.44,6.8,0,0.92,0,0
 24-34,0.67,0,0,0,0,0,0.64,0,0,0,0,1.86,0,76.38,0,0.69,0,0,10.64,0,2.17,0,0
 36-46,0,0,0,10.44,0,0,0,0,0,0,0,6.19,0,201.25,0.8,0,0,0,39.31,0,1.58,0,0
 48-58,0,0,0,31.75,1.02,0,7.57,0,0,0,0.74,6.51,2.11,250.28,0,1.57,0,0,28.64,0,4.69,0,0
 60-70,0,1.04,0,115.34,0,0,10.51,0.6,0,0,0,14.83,0,235.13,0,0,0.96,0,29.22,0,3.14,0,0
 72-82,0,1.04,4.11,97.54,0,0,4.11,0,3.44,0.6,0,22.75,1.53,191.71,0,0,3.01,0,9.65,0.85,2.05,0,0
 84-94,0,0.66,0,98.91,0,0,11.96,0,0,0,0,30.41,0.55,211.15,0.56,0,0,0,26.75,0.64,4.34,3.3,4.02
 96-106,0,0,0,75.5,0,0,28.22,0,0.63,0,0,16.16,0,119.64,0,0,0,0,6.06,0.93,2.72,0.64,0
108-118,0,1.94,0,57.71,0,0.77,7.62,0,0,0,0,24.35,0.72,138.94,1.43,0,3.32,0,0,0,5.38,0,0.55
120,0,0,0,48.59,0,0,3.67,0,0,0,0,31.45,4.35,115.81,0,0,0,0,0,0,4.7,0,0
