stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,immune,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,667.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,18.72,0,0,0,0,0,119.66,0,0,9.94,0,0,0,0,0
 14-21,0,0,0,1.01,0,0,0,0,0,0,0,0,0,177.03,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,42.35,0,0,0,0,0,0,0,0
 36-46,0,0,0,2.44,0,0,0,0,0,0,0,0,0,9.78,0,0,0,0,0,0,0,0
 48-58,0,0.63,1.34,0,0,0,34.75,0,0,0,0.4,0,0,49.59,0,0,0,0,0.58,0,0,0
 60-70,0,0,0,11.67,0,0,139.42,0,0,0,0,0,0,183.87,0,12.62,0,0,0,0,0,1.15
 72-82,0,0,0,35.98,0,1.78,125.57,0,0,0,3.11,0.78,0,337.51,0,0,0,0,0,0,0,0
 84-94,0,9.96,0,6.43,0,0,85.29,0,0,0.89,17.82,0,1.65,184.61,0,0,0,1.29,3.11,0,0,0
 96-106,0,0,6.89,42.32,0,0,131.3,0,1.05,0,25.65,0,0,95.85,0,0,0,1.52,0,0,0,0
108-118,0,9.52,2.02,11.58,2.62,0,88.25,0,0,0,1.35,2.07,0.71,268.57,0,0,0,5.4,0,0,2.33,0
120,0,1.67,0,48.41,0,0,28.53,0,0,0,6.17,0,0,364.19,27.04,0,0,1.13,0,2.39,0,0
