stage,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,0.83,0,0,0,0,0,0,0,0,0,0,2.16,0,0,1.05,17.19,0,0,0,0,1.06,1.03,0,0.9,1.88,0,0.89,0
 24-34,0,0,3.64,0,0,0.93,0,0,0,0,0,3.27,0,0,2.75,53.93,0.64,0,0.61,0,0,0,0.84,0.95,12.52,0,0,0
 36-46,0,0,2,0,0,5.02,0,0,0,0,0,2.38,0,0.89,0,41.32,0,0,0,0,3.69,0,0,0,15.59,0,0,0
 48-58,5.15,0,12.05,0,5.54,0.59,0,0,0,0,0.58,1.4,0,0.39,0.97,32.17,0,0,0,0,1.64,0,0,0,4.32,0,0,0
 60-70,0,0,18.2,0,0,3.32,0,0,0,0,0,4.19,0,0.66,0.6,11.52,0,0,0,0,0,0,0,0,1.98,0,0,0
 72-82,0,0,7.05,0,0,1.87,0,0,0,0.92,0,10.31,0,0,0.57,23.04,0,0,0,0,0.58,0,0,0,6.42,0,0,0
 84-94,0.9,0,4.03,0,0,0,0,0,0,0,0,3,0,0,3.04,9.79,0,0,0,0,0.59,0,0,0,0,0,0,0
 96-106,0,0,7.75,0,0,2.03,0,0.72,0,0,0,2.08,1.92,0,0,13.37,0,0,0,0,9.69,0,0,0,0,0,0,0.62
108-118,3.06,0,1.14,0.69,0,2.11,0.67,0,0,0,0,3.09,0,0,0,30.45,0,0.44,0,1.49,3.18,0,0,0,1.77,0,0.48,0
120,1.23,1.6,4.34,0,0,0,1.73,1.69,3.69,0,0,18.92,0,0,3.19,31.78,4.49,0,0,0,0,0,0,0,0,1.84,0,0
