stage,blastomeres,epidermis,eye,glial,gut,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,somites,spinal_cord,vasculature
  5-6,16.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.49,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3.6,0.84,0,1.14,0.85,1.01,0
 24-34,0,0,0.59,0,0,0,0,10.33,0,0,0,3.8,0,0,0,5.27,0
 36-46,0,0,1.06,2.71,0,0,0,6.25,0,0,3.08,21.57,0,0.58,0,4.71,0
 48-58,0,3.38,4.45,3.64,0,0,0,3.41,2.73,0,2.02,1.83,0,0,0,1.08,0
 60-70,0,0,6.89,10.01,0,0,0,17.94,0,0,0,2.92,0,0,0,2.71,3.69
 72-82,0,0,10.67,0.84,0,0.6,0.92,14.66,0.55,0,0.92,2.38,0,0,0,2.22,1.37
 84-94,0,0,2.16,2.76,0.58,0,0,1.19,0,1.84,0,5.62,2.5,3.23,0,1.98,0
 96-106,0,0,0,2.06,1.02,0,0,7.49,0,0,0,2.13,0,0,0,0,0
108-118,0,0.99,1.62,1.98,0,0,0,2.54,0.59,0,1.07,5.32,0,0,0,0,1.52
120,0,0,2.63,0,0,1.23,1.76,0,0,0,0,2.85,10.58,0,0,1.17,0
