stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,0,2.02,33.65,31.34,16.33,0,0,0,5.87,1.84,0,0,0,0,0,0,0,9.14,0,8.59,157.05,1.29,0,1.62,1.94,0,18.74,13.17,5.06,9.87,46.24,0,0,0
 24-34,0.96,0,7,1.4,54.75,0,0,0,2.97,0,2.21,0,1.95,0,0,0,0,17.07,0,5.58,429.32,0,4.17,3.79,0,0,17.76,0,0,1.46,78.97,0,3.01,0
 36-46,0,0,4.74,6.05,121.35,0,0,0,4.48,1.58,0,0,0,0,0,0.95,0,20.34,0.8,4.33,339.88,0,1.69,0.72,0,0,28.91,0,0,0,71.14,0,2.03,0
 48-58,0,0,8.63,0.37,127.53,0.44,6.61,0,3.67,0,0,0.58,0,4.54,0,1.05,0,31,0,4.5,136.04,0,0,3.57,0,0,3.32,0,0,0,8.38,0,0,3.93
 60-70,0,0,3.22,0,152.3,0,0,0,6.06,1.23,0,0,0,0,0.67,1.12,0,39.1,3.14,6.66,120.39,0,0,0,0,0,0,0,0,0,6.82,0,0,0
 72-82,0,0,3.35,0,36.97,0,0,3.98,13.17,0,0,4.33,0.83,0,0,1.33,0,10,0,0,51.54,0,0,0,0,3.03,0,0,0,0,0.61,0.67,1.36,0
 84-94,0,0,2.72,1.43,34.24,0,0,0.59,1.22,1.73,0,0,0.83,0,0,0,0,28.56,4.73,4.32,17.97,0,0,0,0,0,2.32,0,0,0,0,0,8.79,0
 96-106,0,0,0,0,5.04,0,0,1.02,0.68,0,0,0,0,0,0,0,0,2.45,0,1.96,13.36,0,0,0,0,0,1.46,0,0,0,0,0,0,0
108-118,0,0,0.82,0,25.92,0,0,0,1.89,0,0,0,0.75,0.52,0,0,0,3.83,0,1.77,10.38,0,0.52,0,0,0,1.47,0,0,0,0,1.76,0.66,0
120,0,0,3.86,7.15,32.15,0,0,0,11.66,0,0,0,0,1.1,0,0,8.08,1.93,0,1.36,72.6,0,0,3.28,0,0,2.86,0,0,0,0,0,0,0
