stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,mesenchyme,mural_cell,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,37.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.95,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.61,0,0,0,0,0,11.6,0,27.83,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,5.55,0,0,16.87,4.79,1.73,0
 36-46,0,0,0,9.7,0,0,0,0,0,0.93,0,0,0,0,19.19,0,0,0,0,0,4.62
 48-58,0,0,0,0.51,0.69,0,0,0.54,0,0,0,0.39,0,0,7.04,1.14,0,0,0,0,0.84
 60-70,0,0,0,15.53,0,0,0,0,0,0,0,0,0.57,0.68,3.96,0,0,0,0,2.85,0
 72-82,0,0.88,0,59.55,4.55,0,0,0.59,0,0,0.94,0,0,0,22.6,0,0,0,0,1.58,1.32
 84-94,0,0.7,0,125.62,0.79,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0
 96-106,0,0,0,130.31,0,0,7.94,1.17,0,0,0.62,0,1.49,0,1.96,0,0,0.85,0,3.23,1.56
108-118,0,0,0.42,178.94,0,0.57,0,0,0,0,7.52,0,1.74,0,1.63,0,0,0,0,0,0
120,0,2.25,1.28,157.47,1.09,0,0,0,0,0,0,0,6.55,0,37.41,0,0,0,0,0,1.59
