stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,22.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.06,8.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.53,10.43,0,0,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.45,0,0,0,7.86,0,0,0,0,5.73,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,3.86,13.92,14.73,0,12.59,0,0,0,49.19,1.85,3.1,0,0,0,0,14.71,0,0,8.33,155.46,4.22,6.97,9.29,7.14,0,0,0.91,11.99,31.5,0,10.87,198.68,0,0,1.12,0,0
 24-34,0,0,0,0.76,18.48,0.86,0,47.29,0,2.83,1.99,51.92,0.63,0,0.9,0,0,1.01,53.7,0,0,14.39,383.77,2.32,31.81,17.7,0,0,11.45,0,0,22.6,0.78,1.39,189.58,0,0,25.29,0,0.93
 36-46,0,0,0,0,18.53,0.57,0,42.05,0,0.69,2.86,42.65,0,0,0,0,0,0,23.9,0,0,9.84,206.88,11.4,31.66,1.3,0,0,39.94,0,0,22.7,0,0,81.53,0,0,3.97,0,1.05
 48-58,0,0,0,0,19.1,0,0,64.83,0,4.79,3.25,46.54,0,0,0,0,8.29,0.4,28.83,0.67,0,2.43,184.95,2.45,14.5,9.11,0,1.4,10.41,0,0,4.41,0.77,0,93.21,0,0,1.69,0,7.29
 60-70,0,0,0,0,2.7,0,0,100.94,1.34,0,0.72,37.71,1.68,2.87,0,0,0,1.85,50.94,1.01,2.57,3.57,180.22,2.9,33.57,7.3,0,0,5.98,0,0,2.1,0,0,58.16,0,4.4,0.59,0,3.6
 72-82,0,0,0.54,0,5.56,0,0,49.88,0,0,5.73,33.47,1.49,0,0,0,0,8.85,68.95,0.78,1.42,0,98.83,0,13.62,12.72,0,3.01,16.95,0,0,3,0,0,33.69,1.45,0,0,0,0
 84-94,0,0,0,0,6.78,0,0,34.46,0.69,0.9,2.16,31.26,1.32,0,0,0,2.34,3.29,55.63,0,0,3.09,49.41,0,15.36,16.31,0,0,13.72,0,0,6.44,0,0,16.45,0,2.71,0.63,0,0
 96-106,0,0,0,0,1.21,8.46,0,14.87,0,0,3.24,37.52,2.61,0,0.6,0.91,0,6.73,25.07,0,2.83,1.54,31.32,0,25.56,20.96,0,0,31.13,0,0,4.59,0,0,22.15,0,0.94,1.39,3.4,10.56
108-118,0,0,0,0.74,10.53,0,3.86,26.56,0,3.53,3.75,48.51,0.71,1.34,1.77,0,0,1.7,28.96,0,0,0,47.23,0.46,16.02,14.69,0,0,16.64,0,0,2.88,0,0,24.88,0.44,3.13,1.66,1.37,0
120,0,0,2.94,0,14.68,1.41,0,36.08,0,1.19,0,44.39,1.19,0,1.18,0,0,4.14,52.31,0,0,4.57,164.26,0,64.03,47.22,0,0,10.09,0,0,0,0,0,16.26,0,2.41,14.43,0,0
