stage,erythrocytes,exocrine_pancreas,glial,liver,mesenchyme,mural_cell,neural,notochord,olfactory,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
 14-21,0,0,0,0,1.18,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.75,0,0
 36-46,0,0,0,0,0,0,0,0.72,1.4,4.29,0,0
 48-58,0,0,0,0,0,0,0,0,0.47,1.77,0,0
 60-70,0,0,0,6.26,0,0,10.13,0,4.46,1.05,0.79,0
 72-82,0,0,0,15.3,0,0,10.77,0,1.87,0,0,0
 84-94,0,0,1.8,80.46,2.5,0,3.59,2.69,0,0,0,0
 96-106,4.31,0,2.05,67.29,3.1,0.75,29.46,0,1.24,1.9,0,1.22
108-118,0,0,2.76,149.93,3.17,0,20.05,0.56,1.88,0,0,0
120,0,2.02,0,22.95,0,0,8.54,0,1.26,0,0,0
