stage,epidermis,eye,glial,immune,iridophores,melanocytes,mesenchyme,neural,pronephros,spinal_cord,xanthophores
 14-21,0,0,0,0,0,8.49,3.48,7.13,0.84,5.18,3.9
 24-34,0.85,2.73,0,0,1.04,14.37,7.68,26.71,1.08,1.11,27.48
 36-46,0,0,0,0,1.37,13.97,3.65,8.94,0,0,22.73
 48-58,0,0,0,0,0.77,19.84,0,6.7,0,0,5.45
 60-70,0,0,0,0,22.31,12.26,0,1.96,1.87,0,0
 72-82,1.39,0,0,0,13.6,6.2,1.46,10.03,0,0,4.52
 84-94,1.57,0,1.12,0,13.07,12.67,0,7.41,0,0,0
 96-106,0,0,0,0,3.9,2.77,0,1.41,0,0,2.32
108-118,0,0,0,1.05,7.04,2.51,0,0,0,0,3.15
120,0,0,0,0,3.21,1.45,0,0,0,0,0
