stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,presomitic_mesoderm,somites,spinal_cord,taste,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0.78,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,10.07,0,0,0,0,0.67,0,0
 48-58,1.46,0,0,0,0,0,0,0,10.62,0,0,0.77,0,0,12.91,0,0,0,0,0.45,0,0
 60-70,42.12,0,2.87,0,0,0,0,0,0,0,0,0,0,0,15.76,0,0,0,0,2.28,0,0
 72-82,41.2,0,4.24,1.57,0,3.81,2.26,0,0,0,0,1.64,0,0,10.89,0,0,0,0,0,5.3,0.73
 84-94,82.45,0,14.03,0,0,1.45,1.29,0,1.57,0,0,0.64,0,0,5.77,0,0,0,0,4.97,25.98,0
 96-106,50.35,9.69,0.9,0,0.71,2.64,5.59,0.79,0,0,0,0,3.47,0.94,10.04,0,0.8,0,0,0,38.1,0
108-118,33.82,0,0.55,0,1.77,11.81,6.98,0,0.58,0.51,7.3,4.19,0,0,11.04,2.04,0,0,0,0,47.14,0
120,14.92,0,3.43,0,0,5.47,1.39,0,0,0,0,0,3.31,0,23.49,0,1.43,0,0,0,10.17,0
