stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.39,898.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,129.36,2404.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.44,0,0,0,36.93,0,67.52,0,0,0,0,0,0,0,0,0,0
  7-9,29.72,137.23,119.3,0,0,380.61,0,0,0,0,121.13,0,0,0,0,0,0,0,0,0,0,0,2809.62,98.77,0,0,923.36,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,4.89,128.84,135.71,0,37.13,292.54,0,0,0,0,31.04,0,0,0,0,0,0,0,0,0,0,0,2402.23,43.71,0,0,748.1,0,0,18.93,8.38,103.92,0,0,0,0,0,0,0
 14-21,0,0,0,20.71,12.81,6.48,0,0,9.64,3.55,0,0,0,0,0,0,0,0.94,13.36,0,0,6.87,198.12,4.53,1.04,1.1,2.82,0,0,1.23,29.93,1.76,0,24.06,80.77,0,0.98,0,0
 24-34,0,0,0.6,4.39,0,21.02,0,0,19.9,1.08,0,0,0,2.64,11.91,0,0,0,26.66,0,0,6.71,528.16,0,9.72,0.86,0,0,0.61,0,0,0.79,0,5.31,118.09,0,3.27,0,0
 36-46,0,0,0,0.6,0,103.66,0,0.61,10.88,0,0,3.24,0,0,0,0.99,0,0.66,24.43,0,0.92,2.86,636.55,0.64,6.12,0.77,0,0,0.9,0,0,0,0,0,106.96,0,6.68,0,2.2
 48-58,0,0,0,3.83,0,149.12,0,0,35.09,0,0,0.4,0,0,5.34,0.37,0,0,44.33,0,1.23,7.14,535.79,0,4.74,7.61,0,0,1.13,0.65,0,0,0.94,0,118.03,0,0.5,0,0
 60-70,0,0,0,3.6,0,223.78,0,2.32,19.51,0,0,0.69,0,0,0,0,0,0,35.08,0,11.04,2.86,401.34,0.64,7.76,0.65,0,2.07,0,0,0,0,0,0,58.64,0.9,6.57,0,0
 72-82,0,0,0,0.88,0.83,184.7,0,0.64,14.18,0,0,2.83,0.59,0,0,0.99,0,0,39.66,0,1.41,1.29,246.27,0,4.24,1.83,0,0,0,0,0,0,0,0,30.81,0,4.63,0,0
 84-94,0,0,0,3.58,0,122.15,0,1.38,16.93,0,0,0,1.07,0,0,4.35,10.93,0,52.44,1.01,2.5,10.44,205.57,0,0.63,2.66,0,13.91,4.58,0,0,2.44,0,0,19.61,0,2.27,0.87,0
 96-106,0,0,0,2.78,0,81.25,0.6,0,30.94,1.32,0,0,0.66,0.7,0,0,0,0,30.12,0,1.11,1.89,170.88,0,1.23,2.83,0,1.03,0.66,0,0,0,0,0,0,0,1.93,0,0
108-118,0,0,1.67,9.04,2.6,75.62,0.54,0.46,14.58,0.63,0,0.93,2.99,0,0,0,0,0.44,30.08,0,0.65,3.14,182.84,0,3.38,0.49,0,1.1,1.75,0,0,0,0,0,0,0,8.85,0,0
120,0,0,0,5.9,0,70.53,0,0,20.48,2.84,0,0,0,0,0,0,6.57,0,34.41,0,0,1.18,168.56,0,3.8,0,0,0,1.62,0,0,0,0,0,0,0,3.99,0,3.58
