stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,12.66,49.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,135.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07,0,0,0,0,0,0,0
  7-9,7.69,0,0,0,42.64,0,0,0,0,12.05,0,0,0,0,0,0,0,0,79.15,3.53,0,0,55.87,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,40.95,0,0,0,31.16,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.38,1.84,4.08,0,0,0,1.13,0,0,0,0,0,4.59,0,0,1.58,32.95,0,1.19,1.93,0.83,0,3.55,4.21,0,0,5.12,14.04,0,0
 24-34,0,0,2.29,0,7.35,2.09,0.61,1.05,0,0,0,0,0,0,6.94,0,0,1.36,158.78,0,1.19,0,0,0,2.71,0,0,0,0,18.76,1.32,0.63
 36-46,0,0,0.55,0,23.87,0,0,3.4,0,0,0,0,0,0,3.35,0,0,8.13,92.95,0,0.6,1.6,0,0,0.62,0,0,0,0,24.6,0.56,2.36
 48-58,0,0,1.46,0,45.69,0,0,5.07,0,0,0,0,0,0,4.36,1.16,0.51,3.06,86.02,0,1.68,0.69,0,0,0.52,0,0,0,0,22.66,0,0
 60-70,0,0,0,0,56.31,0,0,3.48,0.75,0,0,0,0,0,7,0,0.59,0,108.58,0,3.2,0,0,0,4.27,0,0,0,0,9.1,0,0
 72-82,0,0,0.85,12.87,42.05,0,1.07,7.03,0,0,0,0,0,0,8.15,0,1.08,0.54,46.85,0,0,0,0,1.03,0,0,0,0,0,1.78,4.48,0
 84-94,0,0,3.36,3.37,21.72,0,0,1.59,0,1.95,0,0,0,0,4.4,0,0,0,50.45,0,0,0,0,0,1.31,0,0.64,0,0,1.38,5.15,0
 96-106,0,0,3.95,3.17,20.6,0,0,4.41,1.19,0,0,0,0.74,16.09,9.86,0,1.68,2.77,24,0,2.19,5.86,0,0,9.23,0,0,0,0,0,1.23,0
108-118,0,0,3.15,0,40.73,0,0,3.29,0,0,1.53,0,0,0,22.61,0.98,0,0,41.77,0,6.84,0,0,0,5.31,0,0,0,0,0,0,1.93
120,0,0,22.23,0,31.28,0,0,20.4,2.43,0,0,5.11,0,0,30.4,0,0,1.13,113.57,0,0,0,0,0,4.66,0,0,1.64,0,0,2.17,0
