stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,29.15,670.31,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0
  5-6,15.67,406.12,0,0,0,0,0,0,0,0,0,0,0,0,9.77,0,0,0
  7-9,5.13,0,6.92,0,9.52,0,0,0,0,0,0,64.49,0,0,3.37,0,7.87,0
 10-12,0,6.35,0,0,12.21,0,0,0,0,0,0,46.34,7.43,0,7.69,0,0,0
 14-21,0,0,0,0,0,0,1.18,0.97,0,0,0,3.45,37.75,0,0,1.03,0,3.54
 24-34,0,0,0,0,0.71,0,0,0,0,0,0,28.79,3.15,1.72,0,0,0,4.15
 36-46,0,0,0,0,0,0,0,0,0,0,0,42.12,0,3.2,0,0,0,18.89
 48-58,0,0,0,0.45,2.02,0,1.33,0,6.29,0.5,0.74,111.87,0.38,0.88,0,0,0,13.6
 60-70,0,0,0,0,37.12,0,0,0,0,5.26,0,151.34,1.45,0.72,0,0,0,18.47
 72-82,0,0,0,0,40.38,0,0,0,0,4.71,0.75,111.28,0,0,0,0,0,16.57
 84-94,0,0,0,0,41.6,1.26,1.33,0,0,2.16,0,60.55,0.98,0,0,0,0,21.46
 96-106,0,0,0,0,40.21,0,0,0,0,1.91,0,68.2,0,0,0,0,0,0
108-118,0,0,0,0,32.34,1.19,0.73,0,0,0,0,71.01,0,0,0,0,0,3.35
120,0,0,0,0,25.79,0,7.74,0,0,3.66,0,154.76,0,0,0,2.14,0,0
