stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,17.06,0,0,0
  5-6,50.53,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,16.61,6.34,0,0,0,0
 10-12,0,0,0,0,0,0,16.94,0,0,0,0,0
 14-21,0,0.86,0,0,0,0,0.82,0,0,2.07,0,0
 24-34,0,2.78,0.86,0,0,0,7.46,0,0,0,0.79,0
 36-46,0,0,0.56,0,0,0,4.91,0,0,0,0,0
 48-58,0,0,1.54,0,0.4,0,2.34,0,0,0,0,0
 60-70,0,0,2.89,0,0,0,2.24,0,0,0,0,0
 72-82,0,0,1.55,0,0,0,0,0,0,0,0,1.4
 84-94,0,0,3.82,0,0,0,2,0,0,0,0,0
 96-106,0,0,3.26,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.42,0.5,0,0,0,0,0
120,0,0,0,3.29,0,0,4.67,0,0,0,0,5.97
