stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,9.18,0,0,0,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.39,19.72,9.34,0,30.92,0,0,0,18.74,0,2.48,0,0.91,0,0,0,0,19.52,0.95,0,11.4,328.75,0,0,2.21,2.02,0,5.98,19.55,2.13,0,13.21,114.74,0,0,1.1,0,0.84
 24-34,0,0,3.34,16.66,1.71,0,94.03,0,0,0.83,19.64,0.66,0,0,1.57,0,6.2,6.34,0,58.09,0,0,17.41,1034.09,5.11,4.64,7.09,0,0,12.29,0,1.04,0,2.85,119.96,0,0,13.11,0,2.41
 36-46,0,0,0,30.44,2.92,0,90.37,0,8.52,2.58,39.24,0,4.7,3.12,0,3.33,0,1.65,0.61,73.95,0,0,18.85,690.46,0,5.16,11.45,0,0,8.37,0,3.42,0,0,81.91,0,0,12.64,0,0
 48-58,0,0,0,26.76,0,0,167.31,1.82,8.26,0.78,62.59,13.54,1.77,0,0,10.34,0,0,0.83,50.5,0,1.13,14.42,639.36,1.94,0.73,19.05,0,0,33.79,0,0,1.01,0,47.85,0,0,8.55,0,0
 60-70,0,0,0,45.87,0.66,0,332.8,0,23.13,4.76,95.29,6.47,3.4,2.33,0.61,2.66,1.46,3.59,0,75.39,0,3,8.74,527.35,2.98,0,7.08,0.81,3.93,21.98,0,0,3.94,0,34.92,0,1.03,7.69,1.28,0
 72-82,0,2.03,0,18.64,2.7,1.04,209.22,5.25,0,10.32,63.63,1.84,1.56,0,0,0,2.94,0,0,123.23,0,10.94,9.57,464.91,2.85,4.66,3.71,0,0.72,3.49,0,0.53,0,0,55.02,0,0.89,20.8,4.58,0
 84-94,0,4.27,0,27.95,0.97,0.71,144.91,0.56,1.69,1.93,44.89,4.89,4.5,10.54,3.88,2.69,3.62,1.67,0,161.5,5.59,7.36,7.71,254.79,1.05,9.56,6.35,0,0,36.59,0,2.43,0,0,38.94,1.57,1.76,9.15,3.45,11.18
 96-106,0,0,0,3.68,0,0,77.27,0,1.14,2.52,49.33,0,2.94,4.34,0.96,12.43,3.35,0,2.44,82.63,0,4.02,7.96,168.94,0.58,7.77,6.63,0,0,45.84,0,0,0,0,6.09,1.44,2.08,16.04,2.79,0
108-118,0,1.22,0,26.4,3.15,0,109.13,6.53,3.42,1.34,56.74,5.73,0,4.61,2.21,6.4,8.99,2.35,0.74,132.67,6.16,1.99,16.94,280.43,1.84,1.02,7.35,0,3.01,28.44,0,0.61,0,0,13.84,0,1.24,27.96,7.32,3.18
120,1.19,0,0,73.23,1.38,0,194.3,12.41,1.25,15.18,216.6,15.46,0,7.5,4.54,2.88,3.12,0,0,289.79,0,4.88,26.48,825.55,1.48,8.46,10.84,0,0,42.7,0,0,0,0,51.38,0,2.2,52.94,27.32,0
