stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,35.01,1184.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,0,0,0,0,0,0,0
  5-6,81.71,2295.99,21.41,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,266.84,0,0,0,18.12,7.86,0,0,0,0,0,0,0
  7-9,59.04,25.3,26.57,0,0,51.35,0,0,0,0,30.08,0,0,0,0,0,0,0,973.52,27.79,0,0,358.73,0,0,0,0,0,0,0,0
 10-12,0,45.28,40.22,0,0,76.54,0,0,0,0,18.47,0,0,0,0,0,0,0,1035.21,41.28,0,0,306.84,0,0,30.64,0,0,3.51,0,0
 14-21,0,0,2.11,26.45,2.8,18.36,0,0,17.35,3.92,0,0,0,0,0,17.55,0,24.6,279.03,10.43,1.51,0.94,9.39,2.42,32.13,1.37,3.77,34.34,108.23,3.35,0
 24-34,0,0,0,3.09,0,0,0.7,0,3.02,0,0,0,0,0,0,7.13,0,3.09,128.79,0,3.65,0,0,1.7,0,0.65,2.41,1.97,31.58,1.52,0
 36-46,0,0,0,7.57,2.17,14.11,0,0,4.41,0,0,0,0,0,0,6.53,0,2.94,115.04,5.95,13.77,0,0,4.49,0,0.63,0,0,25.28,2.86,0
 48-58,0,0,0,0,0,15.47,0,0,8.42,2.29,0,0.88,0,0,0,7.39,1.25,1.77,130,0,4.41,0,0,3.87,0,0,0,0,25.27,1.94,0
 60-70,0,0,2.79,0,0,25.16,0,0,2.72,0,0,0,0,0.69,1.94,8.68,0,0,129.15,0,5.53,5.7,0,5.35,0,0,1.01,0,16.51,0.58,0
 72-82,0,0,0,2.12,0.68,19.19,0,1.56,9.9,0,0,0.51,0,0,0,15,0,2.04,68.13,0,7.3,0.9,0,5.35,0,0,0,0,14.07,2.08,1.71
 84-94,0,0,0,0,0,5.87,0,0.71,7.59,0,0,0,0.65,0,0,5.17,1.32,3.34,30.2,0,3.46,0,0,3.76,0,0,0,0,12.38,0,0
 96-106,0,0,0,0,0.69,15.22,1,0,14.64,0,0,0,0,0,0,9,0,0,34.38,0,10.42,1.36,0,1.14,0,0,0,0,18.03,2.47,0
108-118,0,0,0,1.4,1.66,12.69,0,0,2.16,0,0,0,0,0,0,9.96,0.97,0,44.48,0,0,0,0,3.22,0,0.94,0,0,0.78,1.54,0
120,0,0,0,8.06,0,0,2.58,0,10.84,0,0,0,0,0,0,16.85,13.3,0,73.57,0,12.78,0,0,3.39,0,0,0,0,2.98,1.67,0
