stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,76.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.17,8.27,0,0,56.72,0,0,0,0,0,0,0,0
 10-12,4.72,0,12.77,0,10.78,0,0,0,0,0,0,0,0,0,0,0,0,82.31,19.11,0,0,15.58,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.49,0,3.37,4.05,0,0,2.13,0,0,0,1.84,0,0,2.14,38.54,1.04,0,1.04,0.81,1.89,3.67,2.34,16.74,0,0,0,0
 24-34,0,0,0,0,0,5.28,2.97,0,0,0,0,0.64,0.69,3.1,0,0,2.07,91.62,0.64,1.72,1.83,0,2.14,0,2.05,32.94,0,0,0,0.89
 36-46,0,0,0,0.58,0,8.71,6.48,0,0,0,0,1.82,0,11.95,0,0,3.34,201.79,1.06,2.14,0,0,0,0,0,36.97,0,0.73,0,0
 48-58,0,0,0,2.04,0,47.24,5.93,0,0,0,0,0.49,0,9.47,1.71,0,3.5,154.5,0,0.48,1.8,0,0.99,0,0,29.93,0,0.85,0,0
 60-70,0,0,0,0.69,0,14.81,4.42,0,2.11,0,0,0,0,2.83,0,0.64,1.99,35.84,0,0,0,0,0,0,0,0,0,1.47,0,0
 72-82,0,0,0,0.62,0,24.85,7.37,0.51,0,0,0,1.18,0,12.34,0,0,0,121.1,0,1.09,2.69,0,0,0,0,6.44,0.89,0,0,0
 84-94,0,0,0,0,0,23.63,0,0,0,0,0,1.52,0,4.7,0,0,0.58,45.61,0,4.8,0,0,3.46,0,0,10.74,0,0,0,0
 96-106,0,0,0,0.71,0,26.57,2.21,0,0,0,0,4.55,0,5.18,0,1.41,0,70.84,0,3.72,0.59,0,7.44,0,0,2.96,0,0,4.62,0
108-118,0,0.8,0,1.83,2.2,25.98,4.24,0,0,0,0.66,1.77,0,11.58,0,0,0,91.1,0,0,0,0,6.13,0,0,3.49,0,0,0,0
120,0,0,0,0,0,1.69,23.41,0,0,0,0,1.15,0,16.75,0,0,0,106,0,0,0,0,4.39,0,0,2.5,0,0,0,0
