stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  5-6,8.91,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.61,0,0,0,0,0,0,0,0,47.35,0,0,0,0,0,0,4.01,4.5,0,0,0,0,0,0,0,0,0
 10-12,23.01,0,0,0,0,0,0,0,0,16.33,0,0,0,0,0,0,35.44,10.37,0,0,4.88,0,0,9.11,0,0,0
 14-21,0,0,71.57,12.22,0,4.46,0,0,0,0,0,0,16.4,0,0,23.53,7.22,0,0,0,0,0,39.06,80.98,1.93,0,0
 24-34,0,0,15.43,1.34,0,0.67,0,0,0,0,0,8.85,26.27,0.76,0,1.18,37.44,0,0,0,0,0,0,7.6,7.8,0,0
 36-46,0,0,12.46,0,0.61,0,1.62,0,0,0,0,0,5.96,0,1.83,0.73,107.48,0,0,0,0,0,0,0,7.98,0,0
 48-58,0,0,1.02,0,0,0,0,0,0,0,0,0,0.74,0,0,0,25.46,0,0,0,0,0,0,0,8.01,0,0.98
 60-70,0,0,155,0,0,0,1.8,0,4.99,0,0,15.48,0,0,1.38,0,6.27,0,1.78,0,0,0,0,0,0,0,0
 72-82,0,0,538.55,0,0,0,13.39,0,58.11,0,0,9.13,9.29,0,0,0,26.97,0,0,0,0,0,0,0,0,0.93,0
 84-94,0,0,356.61,0,0,0,3.21,0,72.51,0,0.82,1.29,0.75,0,1.48,0,9.03,0,0,0,0,0,0,0,2.94,0,0
 96-106,0,0,241.01,0,0,0,16.43,5.32,47.22,0,0,0,0,0,0,0,0,0,0.87,1.16,0,2.27,0,0,0,0,7.24
108-118,0,0,78.61,0,0,0,0,7.48,20.28,0,0,0,0,0,0,1.35,3.04,0,0,0,0,0,0,0,0,0,0
120,0,0,66.96,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
