stage,axial,blastomeres,endoderm,eye,hatching_gland,ionocyte,liver,mesenchyme,mural_cell,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste
  3-4,54.07,292.21,0,0,0,0,0,0,0,0,0,0,0,51.88,0,0,0,0,0
  5-6,24.9,276.46,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
  7-9,0,11.42,7.63,18.73,3.84,0,0,0,0,174.74,4.5,0,63.64,0,0,0,0,0,0
 10-12,0,0,0,6.67,0,0,0,0,0,155.2,11.6,0,92.79,0,4.36,7.85,0,0,0
 14-21,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0.99,1.14,0
 24-34,0,0,0,1.02,0,0,1.53,1.16,0,4.5,0,2.02,0,0,0,0,0,1.27,0
 36-46,0,0,0,0,0,0,0,0.74,0,3.5,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0
 60-70,0,0,0,3.03,0,0,0,0,0,5.9,0,0,0,0.67,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0.54,0,0,0,0,0
 84-94,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0
108-118,0,0,0,1.1,0,0,0,1.02,0,2.88,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25
