stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,64.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,53.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.21,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,91.47,0,0,0.66,0,3.33,0,0,0,0,0,0.6,0,0,0,15.35,0,0.91,6.68,0,0.86,20.79,0,0,0,0,321.85,1.76,0,1.62,0,0,0,0,0
 36-46,0,0,0,0,126.88,0,0,5.83,0,20.97,0,3.44,2.44,0,0,0,0,0,1.36,16.36,0,2.24,10.25,0,0,21.79,0,0,0,0,889.33,5.08,2.47,5.86,0,0,0,0,0
 48-58,0,0,0,0,18.47,0,0,12.12,0,4.92,0,0.87,27.17,0.75,0,0,0,0,0,0,1.04,0.66,8.09,0,0,17.47,0,0,0,0,334.34,0,0,4.86,0,0,0,0,0
 60-70,0,0,2.99,0,5.95,0,0,20.82,0.78,2.37,1.58,4.73,437.11,0,0,0,0,0.9,0,47.52,0,6.09,0,0.75,0,95.84,0,0,0,0,6.36,0.88,0,2.11,0,0,0,0,0
 72-82,0,0,20.72,0.93,22.11,6.1,0,106.14,1.52,0.8,1.3,13.22,1747.85,0,1.08,1.28,0.63,17.45,0,58,6.34,45.36,11.67,9.53,3.34,373.33,0,6.85,3.31,5.94,72.79,0,0,44.24,0.97,0.56,8.76,2.04,28.84
 84-94,0,0,7.89,12.5,25.71,46.1,0,83.73,0,10.24,1.88,17.67,4363.72,0,0,8.53,1.82,2.61,3.23,116.81,2.24,75.23,13.08,1.33,9.14,303.69,1.53,6.54,0.82,0,222.28,0,1.33,18.63,0,0,5.01,3.28,2.83
 96-106,0,0,35.48,85.04,44.91,63.97,3.36,287.58,3.76,6.17,3.91,77.27,5553.03,1.06,0,8.23,0.87,6.12,3.87,46.76,0.68,75.29,6.61,3.5,20.41,1220.91,0.64,9.5,3.95,1.28,94.83,0,0.57,8.35,1.37,1.3,15.9,0,6.44
108-118,0,0,7.97,92.12,16.76,18.28,5.2,111.55,0,3.82,4.1,39.41,6325.05,0,0,4.9,3.63,3.47,3.89,53.4,4.44,77.02,1.22,9.5,6.28,1196.98,0.54,1.56,0.72,3.85,34.04,0,0,18.14,4.3,3.85,5,0.7,16.03
120,4.73,0,10.42,20.74,7.44,5.04,1.91,71.86,0,2.1,0,6.91,3628.33,0,2.11,10.24,1.72,0,1.62,143.8,0,23.43,0,1.45,1.12,811,1.57,1.26,2.59,5.9,8.35,1.21,1.69,0,0,0,4.7,15.92,0
