stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pgc,pronephros,somites,spinal_cord,vasculature
  3-4,9.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,0,4.36,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.53,0,0,0,0,0,0,0.81,0,0,19.91,0,2.81,0,1.79,1.31,4.3,1.01,32.72,0
 24-34,0,0.96,2.22,0,12.81,0,0,0,0.63,0,1.04,1.92,0,0.61,11.72,0,15.18,3.36,0,0,2.2,0.71,38.14,0.84
 36-46,0,0,0,0,12.26,0,0.93,0,0.93,0,0,2.4,0,0,15.22,0,25.78,0.58,0,0.81,0.7,0,15.09,0
 48-58,0,0,3.87,2.95,16.78,0,0,0,0,0.4,0,0,0.7,0,13.34,2.59,15.28,1.07,0,0,2.12,0,20.72,0
 60-70,0,0,0,0,2.36,0,0,0,0,0.72,0,0,1.27,0,17.54,0,13.74,0,0,0,0,0,13.18,0
 72-82,0,0,0,5.94,6.7,0.73,0,0,0.52,3.41,0,1.61,0,0,9.72,0,22.4,3.62,0,0,0,0,5.85,0
 84-94,0,3.88,0,2.12,5.76,0,0,0,0.58,0.58,0,0,1.51,0,15.57,0,23.07,12.21,0,0,0,0,8.71,0
 96-106,0,2.14,0,0,13.11,0,0,1.21,0,1.6,0,0,0,0,5.51,0,21.9,7.97,0,0,0,0,1.35,0
108-118,0,0,0.47,0.89,9.12,0,0,0,0,3.7,0,0.69,0,0,8.01,0,10.37,12.12,0,0,1.22,0,2.57,0.63
120,0,0,0,11.68,0,0,0,1.38,0,8.58,0,3.42,0,0,0,0,20.82,25.31,0,0,4.05,0,8.52,0
