stage,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.73,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,64.84,4.22,0,0,0,0
 14-21,0.83,1.79,0,0,0,0,0,0,0,0,8.4,0,0,0.81,2.38,0
 24-34,0,0.82,0,2.93,0,0,0,0.67,0,0,19.5,0,2.5,0,2.32,0.64
 36-46,0,0,0,2.45,0,0,0,0,0,0,4.06,0,0.77,0,0,0
 48-58,0,0,0.69,2.29,1.15,0,0,0,0.54,0,4.73,0,0,0,2.13,0
 60-70,0,0,0,0,0,0,0,0,0,0,5.75,0,1.56,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,2.21,0
 84-94,0,0,0,0.69,1.79,0,0,0.58,0,0.61,0,0,0.68,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,2.81,0,0,0,0,0
120,0,0,0,0,0,2.68,1.01,0,0,1.56,0,0,0,0,0,0
