stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,154.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.27,0,0,0,0,0,0,0,0
  5-6,6.59,50.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624.43,0,0,0,0,0,0,0,0
  7-9,6.37,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.49,0,0,24.01,121.12,13.35,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.93,0,0,9.59,21,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.65,22.62,0,0,0,0,0,1.4,14.55,0,0,5.54,0,0,1.46,6.17,2.09,0,0,12.53,0,3.85,0,520.41,0.9,2.78,3.13,0.86,4.89,0,1.05,0
 24-34,0,0,0,2.9,15.33,0,6.14,1.48,0,0.66,0,0,0,0,21.8,0,0,0,0,5.33,0,0.67,28.91,3.15,0,0,386.33,0,0,3.34,0,5.03,0,1.49,0
 36-46,0,0,0,0,6.07,0,1.18,0.57,3.07,0,0.65,0,0,0,0,0,0,0,3.58,22.67,0,0,42.37,3.89,1.34,0,469.1,0,0,0,0,3.38,0,0.87,0
 48-58,0,0,0,0,10.49,0,6.79,0,0,2.22,0,0.96,0,0,5.46,0,6.87,0,0.9,2.47,0,0,25.05,3.97,0,0,212.45,0,0,0,0,5.03,0,0,0.72
 60-70,0,0,0,0,6.64,0,4.66,0,0,0,0,0.59,3.33,8,0.64,0,0,0,0.88,0.63,0,0,25.89,0,0,0,182.71,0,0,0,0,3.75,0,0.85,0
 72-82,0,0,0,0,22.98,0,2.59,2.36,4.21,0,0,1.75,0,0,9.44,0,2.26,0,3.59,4.11,0,0,4.62,5.07,0,0,104.48,0,0,0,0,3.48,2.82,0,0
 84-94,0,0,0,0,38.34,0,4.11,5.94,0,0,0,1.38,0,0,5.77,0,0,0,0,5.69,0,0,10.96,2.56,0,0,502.94,0,0,1.36,0,4.29,0,0,0
 96-106,0,0,0,0,33.41,0,15.41,4.41,0,0,2.42,0,0,3.21,2.65,0,6.46,0,1.71,4.49,0.69,0,17.28,5.11,3.43,0,328.95,0,0,0,0,4.93,4.52,0,0
108-118,0,0,0.61,0,53.57,0,17.87,8.69,0,1.28,7.82,0,0,1.24,3.79,0.88,2.96,0,2.67,10.62,0,0,21.12,2.06,0,0,352.35,0,0,0.45,0,0,1.33,0.57,0.99
120,0,0,0,0,30.94,1.27,0,8.71,0,0,8.63,0,0,0,7.52,0,1.6,0,0,7.35,0,0,0,3,0,0,205.74,0,0,0,0,0,1.63,0,0
