stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,1.47,1.37,0.91,0,0,0,0,0,0,0,0,2.69,0,0,5.23,0,0,0,0,0,0,0.92,0,0,4.37,0
 24-34,0.75,0.69,0.89,4.49,1.2,0,0,0.67,0.68,0,0,0,4.36,0,1.64,17.12,0,0,0,0,0,0,10.68,0,0,4.75,0
 36-46,0.95,2.38,0,0.93,0,0.77,0,0.72,0.89,0,0,0,4.81,0,1.39,41.61,0,0,0,0,0,0,4.22,0,0,1.36,0
 48-58,0.49,2.16,0,10.04,0,9.66,2.4,0,0,0,0,0,9.13,0,1.68,111.85,0,0,0,2.56,0,0,13.72,0,0,1.33,0
 60-70,0.91,2.29,0,60.95,0,1.84,1.56,0,0,0,2.26,0,10.48,0,0,215.59,0,0,0,1.95,0,1.17,45.45,0,0,3.52,0.98
 72-82,0.93,11.13,0,372.84,0,2.51,6.2,1.59,0.66,0,2.85,0,29.82,0,0.78,348.95,0,0,0.87,2.94,3.31,0,43.15,0,0,0.88,1.96
 84-94,2.94,22.05,1.03,258.26,3.74,2.31,12.07,1.54,0,0.65,9.29,2.93,24.35,0,0.68,303.45,0,0,1.59,2.14,0,0,33.99,1.86,1.64,0,0
 96-106,1.98,3.17,0,381.4,4.96,1.24,9.92,0.89,0,1.23,0.62,0,41.29,0,0,259.72,2.19,1.08,0,7.05,0,0,12.13,0,0,0,0
108-118,6.29,0.51,0,305.87,3.44,0.95,17.57,1.92,0,0.5,1.43,0,61.57,1.14,0,360.42,0,4.11,3.07,4.09,0,0,1.67,0.71,0,0,1.57
120,0,16.46,0,293.85,4.86,0,8.15,10.13,0,0,0,0,37.91,0,2.55,788.03,0,11.81,0,0,0,0,29.06,0,0,2.91,9.97
