stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord
 14-21,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.41,0,0,0,0,0,0,0,0,0,1.54
 36-46,0,0,0,0,0,0,0,2.02,0,16.53,0,0,0,0
 48-58,0,0,0,3.54,0,3.09,0,26.4,0.48,8.01,0,0,0,0.81
 60-70,0,0,0,6.1,0,2.28,0,143.91,0,4.73,0,0,0,1
 72-82,0,0.95,0,2.33,0,0,0,228.7,0.66,10.38,0.9,0.55,0,0.71
 84-94,1.2,0,0,0.6,0,1,0,192.01,0,3.75,0,0,0,2.91
 96-106,0,1.18,0,16.3,0.56,0,5.58,272.71,0,1.37,0.89,0,0,0
108-118,0,0,0.41,4.01,0,0,0,211.35,0.65,2.6,0,0,2.82,0
120,0,0,0,0,0,0,0,238.61,0,14.87,0,0,0,11.27
