stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,mural_cell,neural,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 48-58,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,15.52,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,22.28,0,3.14,0,0.55,5.8,0,0,0,0,0,0.93,0,0,0
 84-94,0,0,1.22,0,0,2.13,35.42,0,0,0,0,2.62,0,0,0,3.4,0,0,0,0,0
 96-106,0.58,11.86,36.23,0.56,0,4.39,427.5,0,0,5.47,0,48.55,1.7,0,4.18,0,0.98,0.72,0,3.05,15.57
108-118,0.82,0,19.18,0,3.38,0.48,1194.43,0,0.61,13,0,54.73,0,0,2.29,0,0,5.09,3.54,0,0
120,1.83,0,12.05,0,0,0,1059.05,7.63,0,30.47,0,115.5,0,2.87,1.1,0,0,0,0,0,0
