stage,erythrocytes,eye,glial,neural,olfactory,xanthophores
 36-46,0,0,0,0,0,1.73
 48-58,0,0,0,1.23,0,0
 60-70,0,1.84,0,0,0,0
 72-82,0,0,2.82,1.75,0,0
 84-94,1.3,1.67,0,0,0.6,0
 96-106,0,2.69,0,0.77,0,0
108-118,0,2.51,0,1.08,0,0
