stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,14.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.39,101.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.33,0,0,0,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.24,18.97,0,0,94.48,0,0,6.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,32.4,0,9.96,36.62,0,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,545.12,272.99,0,0,370.76,0,0,6.41,0,25.2,0,0,11.04,0,0,0,0,0
 14-21,0,0,8.16,208.14,41.47,16.16,0,0,0,47.71,6.38,0,1.23,0,1.88,0,0,0,0,253.57,0,0,437.16,451.96,478.35,0,0,105.9,0,0,0,184.39,0,1.23,334.26,359.43,0,0,4.31,0,0
 24-34,0,0,0.84,125.6,9.88,25.05,0.86,19.19,29.99,22.73,2.67,0,15.46,0,0,0,1.39,0,0.8,860.17,0.77,3.25,470.56,563.18,377.13,0,3.49,0,0.99,18.14,0,0,4.06,0.85,129.76,199.53,0,0,22.52,0,11.64
 36-46,0,0,0,68.98,0,11.34,0,13.96,64.91,24.47,0,0,12.12,0,0,0,0,0,7.12,1102.94,0,13.83,290.06,279.45,308.43,2.5,0,0,17.2,12.74,0,0,0,0,0,79.96,0,0,10.87,0.78,5.33
 48-58,0,0,0,67.12,0,42.53,0,24.01,59.99,37.44,0,0,8.33,0,0,10.26,0,3.2,0,1378.76,0,16.07,253.24,351.51,189.22,1.14,0.81,0,3.52,6.59,0,0,0,0,0,58.85,0,2.41,12.14,1.44,8.02
 60-70,0.81,0,0,45.77,0,75.33,0,23.81,90.18,42.62,2.81,0,4.29,8.72,10.83,0,0,0,2.64,1703,1.41,49.68,173.5,191.88,79.98,0,3.64,0,15.61,13.08,0,0,0,0,0,41.14,0,20.08,5.3,10.55,0.65
 72-82,0,0,0,26.09,0,100.02,1.33,14.58,72.2,60.51,0.65,0,3.09,7.1,0,0,0,0,0,1809.95,3.22,56.04,149.15,138.86,34.44,1.27,4.9,0,25.12,1.7,0,0,0,0,0,27.76,0,23.55,6.19,31.41,3.27
 84-94,0,0,0,36.37,2.78,113,0,20.15,40.44,63.45,0.58,0,2.32,1.41,0.71,0,0,1.04,4.71,1663.72,0,32.82,80.98,104.53,40.94,1.05,6.79,0,4.34,0,0,0,0.93,0,0,41.32,0,27.19,7.15,31.9,0
 96-106,0,0,0,22.93,1.48,48.42,0.9,0.62,28.25,59.2,2.76,0,11.16,0.64,0,0,0.75,0,0,917.62,5.92,14.98,36.69,91.56,15.61,0,3.59,0,32.12,0,0,0,1.56,0,0,32.56,0,16.94,12.32,32.63,0.62
108-118,0,0,0,29.14,3.44,50.88,0,4.5,43.36,59.57,1.1,0,3.5,0,0,0.7,0,0,0,1099.89,0,29.62,41.52,106.65,13.37,1.9,0,0,35.91,5.64,0,0,0,0,0,14.3,0,14.87,3.59,36.26,0.68
120,0,0,0,16.39,0,54.12,0,4.14,22.65,97.42,0,0,11.61,0,0,2.6,0,0,0,1023.38,0,26.85,12.38,130.46,28.4,0,0,0,33.3,0,0,0,0,6.93,0,65.78,2.31,14.18,1.1,58.1,0
