stage,epidermis,erythrocytes,eye,glial,hatching_gland,melanocytes,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0.93,0,0.92,0,0
 24-34,2.47,0,0,0.78,0,0,0.69,0,8.84,0.88,0,0,3.15,0,0
 36-46,0,0,2.62,0,0,0.66,0.59,0.98,33.9,0.69,0,0.58,3.03,0,0
 48-58,0,0,3.86,3.78,0.37,0,0.43,0,15.69,0,0,0,1.02,0,0
 60-70,0,0,1.95,0,0,0,0,0,15.17,0,0,0,3.73,0,0
 72-82,2.25,0,5.01,2.54,0,0,0,0,4.36,0,0,1.77,0,0,0
 84-94,0.68,0,17.47,0,0,0,0.73,0,6.17,0,0,0,0,0,0
 96-106,0,7.34,0,0,0,0,2.06,0,8.66,0,0,0,0,0,0
108-118,0,0,0.5,0,0,0,2.46,0,5.92,0,0,0,0,1.65,0
120,1.82,0,0,0,0,0,0,0,8.7,0,0,0,0,0,3.64
