stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.22,101.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.58,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.87,0,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.24,0,0,0,46,0,0,0,6.93,0,0,0,0,0,0
 14-21,0,0,0,0,2.54,0,0,0,0,0.97,0,0,0,0,0,0,2.05,0,0,1.01,30.97,1.08,0,0,0.82,0,1.29,4.65,0,51.87,0,0,0,0,0
 24-34,0,0,0,0,0.92,0,0.66,0,2.14,0,0,0,0,0,0,0,0.64,0,0,2.07,184.3,0,0,0.81,0,0,0,0,0,178.99,0,0,1.82,0,0
 36-46,0,0,0,0,0,0,10.11,11.82,4.27,0,0,0,0,0,0,0,2.65,0,0,1.28,355.4,0,0,0,0,0,9.61,0,0,131.84,0,0,0,0,0
 48-58,0,0,0,0,1.76,0,19.8,0,17.07,0,0,0,0,0,0,0,11.99,0,0,0,559.66,0,0,0,0,0.46,2.46,0,0.73,144.11,0,0,0.87,0,0
 60-70,0,0,6.75,0,8.76,0,9.18,0,2.75,0,0,0.9,0,0,0,0,4.94,0,0,0,787.71,6.52,0,0,0,0,6.75,0,0,83.28,0,1.31,0.57,0,1.56
 72-82,0,0,0,0,3.54,1.23,36.03,0,2.28,0,0,0,0,0,0,0,5.36,0,0,0,691.08,0,0,0.91,0,0,0,0,0,62.63,0,0,9.38,0.65,0
 84-94,0,0,0,0,0.87,0,43.57,0,0,0,0.64,0,1.05,0,0,0,14.24,0.84,1.03,0.96,492.8,0,2.14,0.79,0,0,6.87,0,0.64,22.99,0,0,2.3,0,9.81
 96-106,0,0,0,0,0,1.91,26.38,0.96,11.71,0,0,0,0,0,0,0.65,2.78,0,0,0,331.12,0,0,0.66,0,0,0,0,0,36.27,0,0,9.51,0.68,0
108-118,0,0,0,0,6.93,0,27.56,0.79,0,0.69,0,0,1.65,0.43,0,0,3.2,0,0,0.57,524.47,4.26,0,0.48,0,0,5.99,0,0,35.83,0.44,0,0,0,0.65
120,0,0,0,0,11.57,0,35.96,0,0,0,0,0,9.79,0,3.86,0,4.89,0,0,0,1503.64,0,2.37,0,0,0,5.98,0,0,72.07,0,0,4.81,0,0
