stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,92.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,18,0,6,0,0,0,51.58,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,257.63,9.32,0,0,68.27,0,0,0,0,0,0,0,0
 10-12,0,12.26,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.09,7.02,0,0,63.5,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,103.22,0,0,0,0,12.87,29.39,0,0,0.81,0,0,0,1.99,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.58,0.75,0,0,0,0,0,0,0,0.7,0,304.11,0,2.73,0,1.44,33.68,705.09,3.42,0,0,0,3.87,4.69,5.59,0,1.85,0,0
 36-46,0,0,0,0,0,0,0,4.64,0,0,0,3.88,0,0,0,9.89,1.38,0,442.48,0,5.91,0,1.92,24.89,1310.99,0.93,0,0,4.12,3.98,20.93,7.54,0,2.42,0,0
 48-58,0.58,0,0.42,0,0,0,0,20.38,0,0,0,2.15,0,0,1.06,0,0,0,515.65,5.24,92.55,2.38,3.64,65.52,1972.08,0,0,0,0.56,0,0,4.91,0,0.47,0,2.2
 60-70,8.57,0,0,0,17.56,0,0,35.64,0,0.9,0,37.97,0,0,0,0,0,4.06,560.82,0,613.02,0,0,65.35,1523.63,4.42,0.78,0,0,5.03,0,7.95,0,0,0,0
 72-82,0,0,0,0,2.81,0,0,34.33,0,0,5.93,198.53,0,1.73,0,0,0.56,1.58,538.82,0,817.34,0,3.07,83.25,787.38,0,0,0,0,5.31,0,0,0,2.74,0,0
 84-94,0.62,0,0,0,4.49,1.06,0,68.35,0,0,0,291.35,2.25,0,1.78,0,0,2.52,231.66,7.16,831.85,2.43,2.22,56.4,1388.97,0,0,0,0,0,0,0,3.07,3.02,0.64,8.88
 96-106,2.25,0,0,0,4.33,0,0,48.08,1.31,0,0,754.6,0,0,0.68,7.38,0,1.2,120.82,0.71,386.98,0,0,47.95,704.14,2.98,2.63,0,0,4.34,0,0,0,0.99,0,0
108-118,17.45,0,0,0,1.03,7.15,0.53,32.76,0,0,5.84,577.3,2,0,0,0,0,0,146.63,2.58,361.93,0.66,0,85.17,866.7,1.27,0,0,0,1.13,0,3.32,3.52,0,0,1.3
120,4.73,0,0,0,1.01,4.48,0,30.57,0,0,0,586.69,0,0,0,0,0,2.88,99.33,0,302.7,0,0,89.8,1035.56,0,1.8,0,0,2.32,0,0,10.16,0,0,0
