stage,endocrine_pancreas,eye,glial,melanocytes,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,1.14,11.5,0,0,0,0,3.26,0,0,0,0,0
 24-34,0,42.47,0,0,1.42,0.66,25.84,0,0,2.39,0,0
 36-46,0,62.39,0,1.99,2.08,0,51.98,0.78,0,4.91,0,0
 48-58,0,79.72,4.19,0,2.62,0,71.8,0,2.11,0,0,0
 60-70,0,114.32,1.05,0,0.63,0,32.13,0,0,6.91,0,0
 72-82,0,75.06,6.63,0,3.79,0,16.97,0,0,0,0,0
 84-94,0,43.38,15.97,0,7.51,0,8.72,6.1,0,0,0,0
 96-106,0,39.42,3.94,0,10.14,0,1.87,0,0,0,0,0.68
108-118,0,40.37,4.33,0,3.63,0,17.17,0.5,0,0,0,0
120,0,77.61,1.39,0,2.84,0,35.24,0,0,0,5.78,0
