stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,133.51,4944.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.89,0,0,0,0,0,0,0
  5-6,114.19,1363.67,0,10.49,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,102.59,0,0,0,0,35.45,0,0,0,0,0,0,0
  7-9,3.63,19.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.64,10.26,0,0,80.92,0,30.78,0,0,0,0,0,0
 10-12,0,6.96,0,0,0,0,14.18,0,0,0,0,0,0,0,0,0,0,0,0,0,36.63,4.81,0,0,16.11,0,13.38,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0.86,7.22,2.11,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0.96,13.68,0,5.19,1.66,0,0,0,7.09,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.01,0,0,0,1.72,0,0,0,0.95,0,0.77,0,0,0.95,37.59,0,2.14,0,0,10.41,0.81,7.63,0,2.67,0,0,0
 48-58,0,0,0,0,0,1.35,1.99,0,0,0,0,0,0,19.53,0,4.18,0.42,0.46,0,0,12.72,0,2.52,0,0,0,0,5.63,0,1.53,0,0.38,0
 60-70,0,0,0,0,0,0,1.74,0,0,0,0.68,0,0,0,0,0,0,2.17,0,0,8.74,0,1.23,0,0,0,0,7.78,0,6.37,0,3.24,0
 72-82,0,0,1.92,0,0,0,4.3,0.81,0.94,0.89,3.94,0,0,0,0,0,3.18,0,0,1.23,18.32,0,4.53,0.79,0,0,0,16.5,0,0,3.02,4.91,4.86
 84-94,0,0,2.81,0,2.58,0,11.32,0,0,0,11.66,0.6,0,0,0,0,0,0,0,0,1.85,0,3.31,0,0,0,0,21.28,0,0,0,2.66,0
 96-106,0,0,2.47,0,0,1.27,0,0,0,2.49,6.94,0,0.58,0,0,0,0.56,0,1.7,0,51.4,0,5.51,0,0,0,0,8.23,0,1.35,7.1,7.12,0
108-118,0,0,4.08,0,0,5.51,10.02,0,0,1.92,15.05,0,0,0,0,0,4.6,0,0,0.81,15.35,0,2.85,0,0,0,0,8.56,0,0,0,4.75,5.08
120,0,0,0,0,0,0,1.25,0,0,0,10.36,0,0,0,0,0,3.52,0,0,0,18.83,0,2.49,0,0,0,0,5.53,0,0,0,11.97,0
