stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.77,0,0,0,0,0.88,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0,1.32,0,1,0,3,0,0.87,0,0,0,0,0
 24-34,0,0,0,10.99,0,0,0.77,0,15.32,0,0,0,0,0,9.73,0,0,0,0,0,0.63,0,0.67,16.24,0,0,0,25.52,0,0,0,0,0,0,0
 36-46,0,0,0,11.11,0,0,0,0,8.18,0,0,0,0,0,3.8,0,0,0,0,0,0.58,0,0,1.04,0,5,0,122.48,0,0,0,0,0,0,0
 48-58,0,0,0.43,26.76,0,0,6.47,0,26.71,0,2.48,0.43,0.41,0,5.21,2.06,0,0,4.14,0,0.5,0,0,29.97,0,1.37,0,226.07,0,4.32,0,0.37,0.52,0,1.04
 60-70,0,0,0,45.24,0,0,4.12,0,52.05,1.21,126.64,1.79,0,0,5.36,26.5,0,0.81,0,0.9,2.12,0,0,34.03,0,3.91,0,424.98,0,1.33,4.5,0,0,0,12.92
 72-82,0,0.56,0,87.88,5.36,0,28,3.34,35.15,0,537.3,7.73,0,0,22.18,29.84,1.24,0,5.12,7.06,6.11,0,0,41.54,0,1.54,2.2,732.03,0,5.98,5.24,0.56,0,0,15.34
 84-94,0,0.6,0,232.52,0,0,12.31,0,108.96,0,564.56,47.29,0,3.02,53.67,33.75,0,0,0,23.09,30.02,0,0,34.79,0,1.33,0.83,2760.95,0,0,27.45,0,1.43,0,17.35
 96-106,0,1.29,0,396.09,18.35,0,70.32,0,164.9,1.38,1140.56,67.13,0,3.11,95.69,10.59,0.65,3.06,0,32.57,48.6,1.41,0.58,150.64,0,2.5,0.57,3465.11,0.57,0,25.74,0,0,0,0
108-118,0,0,1.39,498.07,5.89,5.97,38.63,0,296.08,0,1382.94,68.04,0,0.75,97.45,34.13,0.59,1.88,1.67,21.67,57.38,0.46,2.48,115.95,0.45,3.62,1.12,3455.15,1.54,2.47,34.89,0,2.21,0.48,0.53
120,0,0,1.66,406.84,0,0,31.77,0,184.17,0,1056.69,43.41,0,0,53.2,12.93,0,0,0,5.22,39.63,0,0,84.91,3.33,4.64,3.14,1939.83,0,0,23.94,0,0,0,8.99
