stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,56.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.92,9.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.28,36.59,0,0,8.08,0,35.46,0,0,0,0,0,0,0
 10-12,0,0,0,5.86,0,0,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.47,0,0,0,39.7,0,15.04,0,0,0,0,0,0,0
 14-21,0,0,0,0,16.45,0,1.58,0,7.02,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0.94,3.95,0.98,0,0,0,0,112.21,0,0,0,1.04,0,0,0
 24-34,0,0,0,0,23.97,0,0.97,0,7.22,0,0,0,1.11,0,0,3.49,0,1.29,0,1.19,4.04,0,0,0.89,14.58,0,1.37,12.14,0,0,94.69,0,0.69,0.93,3.89,0,0,0
 36-46,0,0,0,0,25.4,0,3.86,0,4.75,0,0,2.86,0,0,0,0,0.86,1.94,0,7.27,4.26,0.67,0,1.63,16.24,0,6.29,2.66,0,0,152.68,0,0,0,3.08,0,0,0
 48-58,0,0,0,0,11.07,0,12.55,0,5.93,0,2.29,0.41,1.19,0.69,0,0,0.92,1.66,0.39,6.3,4.26,0,0,0.58,38.51,6.62,6.79,5.82,0,0,94.31,0,0.74,0,8.03,0,0,0
 60-70,0,0,0,0,23.75,0,15.93,0,3.6,0,1.22,5.33,0,0,0,0,14.84,4.83,0.72,0.59,32.05,0,0,0,37.86,1.23,5.82,7.21,0,0,76.75,0,0.68,0,0,0,0,0
 72-82,0,0,0,0,15.7,0,35.37,0.59,7.14,0,19.9,3.98,0,0,0,2,16.1,3.81,0,4.4,42.52,2.36,0,2.06,50.47,0.56,6.34,10.51,0,0,50.71,0,0.97,0,9.74,3.4,0,0
 84-94,0.62,0,0.66,0,32.41,11.23,73.69,0.79,12.61,0,4.52,1.93,0,0,0,4.32,8.33,10.95,0,0,37.26,1.23,0,3.97,42.48,4.1,3.2,12.56,0,0,147.18,0,0.7,0,4.55,8.61,0,0
 96-106,0,0,0,0,68.51,0,102.76,0,17.23,0,11.97,6.77,1.06,0,0,10.44,12.35,13.88,2.26,0,29.74,0,0,0,33.18,1.44,12.28,21.43,0,1.05,89.27,3.39,0,0,5.56,10.46,0,5.49
108-118,0,0,0,0.49,87.52,0,129.25,0,15.02,0.59,11,6.36,0,0,0.58,8.89,33.58,15.01,1.91,0.97,27.82,0.81,0.92,0.55,53.27,1.45,16.79,26.36,0,0,91.4,0,2.6,0,11.04,9.4,1.67,0
120,0,0,0,0,86.64,0,170.07,0,20.72,3.03,9.34,10.48,0,0,0,6.91,25.9,12.01,0,0,72.6,0,0,1.81,141.83,4.03,16.68,24.3,0,0,66.34,0,2.12,0,0,0,0,0
