stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0
  5-6,0,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0,8.35,0,0,0,0,0,0,0
 14-21,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,3.33,0,0,0,0,0,0,6.94,0,0,0
 24-34,0,0,0.71,1.94,1.22,0,0,0,0,0.82,0,0.92,0,0,0,0.95,0,2.19,38.95,13.71,0,0,0,0,0,7.12,0,3.32,0.91
 36-46,0,0,1.4,0,0,0,7.27,2.61,0,0,1.78,9.82,0,0,8.8,0,0,0,18.36,4.37,1.76,0,1.19,0,0,9.53,0,1.06,0
 48-58,0,0,0,0,1.52,0,8.01,1.96,0,0,0.38,0,0.87,0,1.66,3.47,0.6,0,40.25,4.22,0.38,0,0.81,0.65,0,3.48,0,0,0
 60-70,0,0,0,0,0,0,17.32,5,0.62,0,0,18.53,1.13,0,3.17,0.73,0,0,45.95,2.08,13,0,0,0,0,3.25,0.81,0,0
 72-82,0,0,2.77,1.99,0.9,0,13.78,11.94,4.64,0,0,2.73,1.45,0,6.36,4.18,0,0,60.26,2.74,6.34,0,1.59,0,0,1.88,4.62,0,0
 84-94,0,0,0,3.99,0,0,6.45,2.94,13.71,0,0,6.02,8.87,0.83,1.32,2.12,0,0.65,45.8,2.29,10.62,0,0,0,0,2.81,22.69,0,0
 96-106,0,0,2.4,2.38,0,0,18.61,8.81,8.05,0,0.95,4.48,10.46,0,3.6,3.27,0,0,41.05,0.57,8.83,0,0,0,0,0,13.85,0,0
108-118,0,0,1.35,0.89,1.35,2.97,5.14,10.49,4.77,0,0.42,3.07,6.48,0,4.9,11.08,0,0,77.62,2.15,2.49,0,0,0,2.76,1.75,11.5,0,0
120,0,0,4.66,1.63,0,0,3.13,17.58,15.97,0,1.44,4.81,4.72,0,14.93,3.49,0,0,110.05,0,7.67,0,0,0,2.89,3.5,2.95,0,0
