stage,endoderm,epidermis,eye,ionocyte,iridophores,mesenchyme,neural,olfactory,periderm,spinal_cord
  3-4,0,0,0,0,0,0,0,0,13.28,0
  5-6,0,0,0,0,0,0,0,0,8.18,0
 14-21,1.95,0,0,0,0,0,0,0,1.1,0
 24-34,0,0,0,0,0,0.69,2.43,0,14.78,0
 36-46,0,0,0,0,0,0,6.04,0,7.54,2.22
 48-58,0,0,0.89,0,0,0,2.71,0,3.42,0.75
 60-70,0,0,0,0,0,0,9.42,0.83,4.58,0
 72-82,0,0.97,2.39,0.54,4.27,0,18.44,0,12.21,0
 84-94,0,0,0.96,0,0,0,5.44,0,5.13,0
 96-106,0,0.59,0,0,0,0,4.38,0,5.32,0
108-118,0,0,0,0,0,0,1.53,0,11.34,1.94
120,0,1.07,0,0,0,0,13.59,0,5.97,0
