stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,spinal_cord,vasculature
  5-6,9.16,6.44,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.38,0,0
 10-12,0,0,0,3.58,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.42,0,0,0.9,0
 24-34,0,0,0,3.03,0,0,0,0,2.26,0.77,0,0,0
 36-46,0,0,0,13.8,0,4.62,0,0,3.29,0,0,0.89,0
 48-58,0,0,0,60.69,0,2.2,2.28,0,14.52,0,0,0.39,0
 60-70,0,0,0,167.94,1.4,9.99,2.15,0,3.32,0,0,0,0
 72-82,0,0,0,152.8,0,17.17,3.12,0,8.88,0,0,0,0
 84-94,0,0,0.62,178.31,9.46,10.84,6.29,1.16,8.96,0,0,0,0
 96-106,0,0,0,207.31,0,17.73,2.4,0,10.07,0,0,0,0
108-118,0,0,0,154.63,0,20.96,1.28,0,5.95,0,0,0,1.95
120,0,0,2.25,328.09,0,0,17.68,0,18.44,0,0,0,0
