stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,gut,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm
  5-6,25.43,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.08,0,4.96,0
 10-12,0,0,0,8.27,0,0,0,0,0,0,14.08,0,0,0
 14-21,0,1.03,0,0,0,0,0,0,0,4.88,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
 36-46,0,1.05,0,0,0,0,0,0,1.26,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0.57,0,0,0,0.62
 72-82,0,0,0,2.82,0,0,0,0,0,0,0,0,0,0
 84-94,0,0.87,0,0,0.59,0,0,3.41,0,0,0,0,0,0
 96-106,0,2.51,3.82,0,0,0,0,0,0,0,0,0.59,0,0
108-118,0,0,0,2.39,1.4,0,0.78,1.16,0,0,0,0,0,0.46
120,0,0,0,0,2.19,1.53,0,0,0,0,0,0,0,1.53
