stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0,0,0,0,0,0
 14-21,3.44,0.9,0.88,0,0,0,0,0.89,0,0,15.29,0,1.18,10.68,0,2.9,0,2.46,8.34,0.81,0,0,1.01,0,0
 24-34,0,0,0,0,0,1.64,0,0.67,0.71,0,56.87,0,12.75,7.15,0.8,0.77,0,0,0,5.67,0,0,6.63,0,0
 36-46,0,0,0,0,0.62,6.76,0,0,0,1.53,59.31,6.53,28.93,11.13,0,11.63,0,0,0,0,1.29,0,2.57,0,0
 48-58,0,0,2.73,0,1.44,16.27,1.01,0,1.09,0,94.64,0.4,33.25,14.11,0,9.9,0,0,0,0,3.16,0.51,1.51,0,0
 60-70,0,0,1.37,4.02,1.49,29.73,3.15,0.69,0,0,122.71,0,21.11,16.54,0,0.82,0.66,0,0,0,0,1.82,0.68,0,8.91
 72-82,0,0,1.7,0,0,20.72,0.64,0,0,0.49,153.01,0,5.71,15.29,0,16.04,0,0,0,0,16.65,0.56,0.79,7.45,1.11
 84-94,1.97,0,7.58,0,2.49,23.3,0,1.46,0,10.75,140.13,1.93,15.49,7.14,0,11.36,0,4.29,0,0,0,7.96,7.73,3.8,0
 96-106,0.57,0,4.44,0,0.58,31.73,0,0,1.08,1.28,130.7,0,21.17,12.04,0,5.7,7.62,3.02,0,0,0,3.27,3.46,2.3,0.62
108-118,0.88,0,10.22,0.42,4.49,19.68,3.36,0,2.01,13.62,124.69,4.27,10.26,11.45,0,7.06,4.8,0,0,0,0,2.41,13.55,9.81,0
120,2.35,2.93,0,0,0,46.92,2.47,0,3.53,0,176.72,0,10.89,2.41,0,0,5.08,0,0,0,0,3.38,9.98,14.71,0
