stage,endoderm,neural,paraxial_mesoderm,pronephros,vasculature
  7-9,0,0,5.44,0,0
 10-12,22.51,0,0,12.48,0
 48-58,0,0,0,0,2.23
 60-70,0,5.57,0,0,0
