stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,11.51,691.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,0,0,0,0,0,0,0
  5-6,36.49,1114.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,19.82,0,0,0,0,0,0,0
  7-9,0,9.02,19.23,0,104.84,0,0,0,4.44,0,0,0,0,0,0,0,0,0,676.74,7.98,0,0,151.75,0,0,0,0,0,0,0,0
 10-12,0,12.86,3.32,0,17.44,0,0,0,0,0,0,0,0,0,0,0,0,0,226.08,14.93,0,0,105.78,0,11.35,0,3.26,0,0,0,0
 14-21,0,0,0.86,4.03,0,0,0,1.72,0,0,0,0,0,0,0,2.34,0,2.07,24.71,0,0.92,0,0.95,0,0,1.11,0,1.72,5.14,0,0
 24-34,0,0.83,0,0,2.02,0,0.67,0,0,0,0,0,0,0,0,8.06,0,3.41,45.79,0,0,0,0,0.69,0,0,0.93,0,19.92,0,3.29
 36-46,0,0,0,0.6,4.73,0,3.67,0,0,0,0,0,0,0,1.47,2.74,0.57,0,63.19,0,0,0,0,0,0,0,0,0,17.25,1.38,0
 48-58,0,0,0,0,15.81,0,1.4,0,0,0,0,0,0.49,0,0,6.52,0.4,0.98,40.97,0,0,5.47,0,0,0,0,0,0,3.35,0.54,0
 60-70,0,0,0,0,18.46,0,3.36,0,0,0.95,0,0,0,0,0,4.09,0,3.36,30.15,0,1.5,0,0,0,0,0,0,0,1.59,0,0.97
 72-82,0,0,0,0,22.56,0,4.28,0,0,0,0,0,0,0,0,8.17,0,0.9,14.06,0,4.56,0.51,0,2.11,0,0,0,0,3.88,0.58,0
 84-94,0,0,0,1.08,3.96,0,0.57,0,0,0,0,0,0,0,0,3.17,0.95,0,16,0,0,0,0,0,0,0,0.74,0,5.52,0,0
 96-106,0,0,0,3.11,9.56,0,3.04,0.56,0,0,0,1.36,0,0,0,0.85,0,0,6.67,0,0.92,0,0,0.99,0,0,0,0,3.11,0.71,1.88
108-118,0,0,0,0,1.05,0,2.93,0,0,0,0.47,0,0,0.43,0,13.32,0,0,9.75,0,0,0,0,1.58,0,0,0,0,0,0,0
120,0,0,0,0,15.68,2.48,3.51,0,0,0,3.75,2.88,0,0,0,1.28,0,0,26.53,0,0,0,0,0,0,0,0,0,0,0,0
