stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,10.31,0,4.35,0,0,0,1.1,0.97,1.5,0,0,0,0,0,0,5.68,0,3.78,36.87,2.66,0,0,2.32,1.03,3.98,1.74,4.41,12.38,0,0,0,0,0
 24-34,0.71,2.92,0,20.26,0,1.24,0,1.92,1,1.13,0,0,0.63,0,0,1.9,12.1,0,7.95,87.35,0,1.62,0,0,6.73,0,0,2.21,39.04,0,0,1.69,0,4.11
 36-46,0,1.26,0,23.06,0.68,0,1.41,15,0,0.56,0,0,0.86,0.68,0,0,18.81,0,5.28,107.8,0,2.16,0,0,6.77,0,0,0,19.79,0,0,1.03,0,0
 48-58,0,1.63,0,28.17,0,0,0.82,33.94,5.32,0.71,0,0,0.38,0,0,0,30.08,0,4.57,99.36,0,0,0.44,0,2.39,0,0.43,0,42.83,0,0,2.33,0,0.54
 60-70,0,0.63,0,17.03,0,0,0.68,31.71,0,0,0,0,0,1.24,0,0,30.16,1.78,1.86,99.14,0,0.98,4.2,0,1.18,0,0,0,8.94,0,1.39,0,0.98,0
 72-82,0,0.67,0,28.24,0,1.4,0,17.15,0,1.45,1.12,0,0,0,0,0,24.92,1.02,1.92,49.56,0,0.88,2.05,0,1.11,0,0,0,7.76,0,0,2.59,0.51,0
 84-94,0,2.75,0,21.08,0,8.67,2.09,8.01,0,0.7,0,0,0,0,0,0,18,2.47,3.6,44.4,1.52,0,0.79,0,1.93,0,0,0,13.25,0,0,1.66,0,0
 96-106,0,0,7.51,20.77,0,0.82,0.76,5.11,0.62,0.95,1.54,0,1.08,0,0,0,19.22,2.88,12.06,18.68,1.27,0,3.05,0,6.78,0,0,0,0.66,0.79,1.01,3.9,2.37,2.53
108-118,0,1.83,0,6.91,0,1.11,0.65,8.31,0,2.29,2.04,0.6,0,1.61,0.56,0,20.95,8.22,3.62,58.6,0,0,2.27,0,1.75,0,0,0,1.77,0,0,10.17,0,0
120,0,4.89,0,21.82,4.91,0,3.22,11.89,0,6.11,0,1.45,0,0,1.38,0,63.09,3.46,0,46.76,0,0,3.06,0,1.1,0,0,0,0,0,0,11.6,0,0
