stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,14.84,393.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.22,211.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.01,0,0,0,0,8.98,0,0,0,0,0
  7-9,6.35,9.25,0,11.3,0,0,0,13.36,0,0,0,0,0,0,0,0,0,0,0,137.26,0,0,0,43.88,5.09,0,0,0,0,0
 10-12,0,14.03,0,22.44,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,185.54,23.96,0,0,41.06,0,0,0,0,0,0
 14-21,0,0,0,1.23,11.63,1.75,0,5.31,0,3.87,1.95,0,0,0.88,0,0,6.96,0,0,62.95,3.89,1.19,0,2.29,0,13.51,11.82,16.9,0,0
 24-34,0,0,0,0,1.58,2.15,0,8.22,0,1.98,0,0,0,0,0,3.58,9.08,0,2.78,99.44,0,1.35,0.61,0,0,2.32,2.1,25.23,0.71,0
 36-46,0,0,0,0,1.43,0,0,16.54,0.6,4.38,0,0,0.64,0,0,0,8.69,0,0.84,77.91,0,1.09,0,0,0,0,0,14.94,0,0
 48-58,0,0,0,0,0.73,1.19,0,25.98,0.88,2.35,0,0,0,0,0,0,3.47,0.6,0.9,52.34,0,0,0.6,0,0,0,0,13.74,0.49,0
 60-70,0,0,0,0,1.38,0,0,24.72,0,1.69,0,0.9,4.6,0,0,0,15.61,0,1.25,44.41,0,0,0,0,11.67,0,0,0.85,0,3.62
 72-82,0,0,0,0,1.19,1.27,0,21.97,1.22,1.82,0,0,0,0,0.63,0,14.45,0.63,1.27,28.6,0,0,0,0,0.52,0,0,0,5.9,8.1
 84-94,0,0,0,0,7.99,0,0,22.51,0.94,3.11,0,1.78,0,0.83,0,0,6.74,1.32,2.77,21.03,0,0,0,0,2.93,0,0,0,0,8.37
 96-106,0,0,2.86,0,0.93,4.85,0.66,7.85,0,4.71,0,0,0,1,0.82,0,8.41,0,0.66,25.88,0,0,1.5,0,3.31,0,0,0,3.32,0
108-118,0,0,0,0,1.16,3.58,0,10.44,0,1.08,0,0,0.58,0,0,0,3.4,0,0.51,29.14,0,0,0.98,0,0.69,0,0,0,0,0.5
120,0,0,0,3.17,10.27,10.56,0,24.27,0,9.95,0,0,5.79,0,0,0,0,0,1.08,8.84,0,0,1.29,0,0,0,0,0,0,0
