stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.97,0,0,3.7,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.93,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,0,0,0,1.61,11.31,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,100.98,1.62,1.55,0,3.38,13.92,0,0,1.09,0,0
 36-46,0,0,0,0,11.73,0,0,3,0,0,3.34,0,0.81,0,0.68,387.35,5.75,0,0,9.84,81.06,0,0,0,0,3.89
 48-58,0,0,9.12,0,64.64,0.41,0,2.19,0,0,0,0,2.03,0,0,514.29,1.41,6.68,0,0.55,50.89,0,0,0,0,0
 60-70,0,0,0,0,154.37,0,0,2.6,0,0,0,0,3.97,0,8.34,855.52,3.22,0,0,0,97.15,0,0,0,0,0
 72-82,0,0.54,1.09,0.53,127.15,0,0.55,2.74,0,0,0,9.19,7.39,0,0,539.29,0,0,0,0,44.07,0.67,0,0,0.56,0
 84-94,0,0,9.24,3.94,108.83,0,0,8.48,0,0.7,0,0,3.1,0,0,396.85,0.93,3.04,0,0,41.61,0,0,0,0,0
 96-106,0,0,4.03,0,52.11,0,0,8.97,1.48,0,0,0,0,5.65,0,301.56,2,0.6,0,1.88,13.19,0,0,0,0,0
108-118,0,0,0.43,0,48.99,0,0,1.9,0,0,0,0,0,0,0,311.41,1.76,0.65,0,0,0.7,0,1.44,0,0,0
120,0,0,0,0,79.83,0,0,0,0,0,0,0,7.19,0,0,473.73,1.62,4.65,0,0,2.1,0,0,0,0,0
