stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,3.79,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.73,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0,0,0
 24-34,0,3.65,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,108.9,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.58,0,0,0,0.84,0,0,0,0,0,0,147.58,0,0,0,0,0,9.41,0,0,0,0,0,0,0,0,1.11,0,0,0,0
 48-58,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,239.66,0.56,4.47,0,0,0,10.21,0,0,0,0,0,0.51,0,0,3.91,0,0,0,0
 60-70,0,0,0,0,0,3.6,0,0,0,2.37,0,0,0,0,0,0,336.27,0,13.97,0,0,0,25.65,0,0,0,0,0,0.6,0,0,4,0,0,0.73,0
 72-82,0,0,3.63,3.09,2.07,29.71,0,0,0,7.15,0,0,0,0,0,0,787.19,0,16.01,0,0,1.7,82.44,0,0.56,0,0,0,6.17,0,0,2.46,0,5.12,0,2.09
 84-94,0,0,5.52,6.53,1.12,49.91,0,0,0,6.57,1.65,1.81,1.32,0.61,0.76,0,2801.14,0,20.8,0,0,0,109.08,1.83,2.14,0,0,0,14.81,0,0,0,0,2.33,1.57,7.88
 96-106,0,0,16.09,63.99,7.75,166.33,2.1,14.76,0,60.2,12.51,0.68,6.72,3.27,8.04,6.1,4796.8,0,67.67,2.02,5.72,7,706.86,1.7,0.66,3.33,0,0,29.66,0.7,0.74,4.96,0,16.12,5.55,0
108-118,0.97,0,22.58,2.7,19.48,140.17,0,1.8,1.75,28.56,7.75,0.51,6.96,2.08,0.64,1.73,8930.55,12.17,93.61,3.26,0,3.82,547.81,2.68,0.83,2.24,0,5.26,36.56,0,0,5.83,4.8,8.45,0.98,14.96
120,0,0,28.35,5.67,2.02,119.67,6.5,4.73,4.91,55.22,5.71,3.15,3.68,0,5.27,4.6,4102.69,0,42.06,0,26.92,0,347.21,1.29,0,6.33,0,0,5.99,0,0,2.39,0,6.1,0,0
