stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,xanthophores
  5-6,19.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.9,0,0,0,0,0,0,0,0,0,28.05,0,0,0,0,0,0,0
 10-12,0,11.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.59,0,0,0,0,0,0,0,0,0,0.85,2.94,0.9,1.44,0,3.44,0,0,0
 24-34,0,0,0.62,0.69,0,1.54,0,0,0,0,1.42,1.51,0,5.69,0,0,0,1.33,0,0.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0
 48-58,0,0,0,1.55,0,0.92,0,0.38,0,0,0,0.72,0,0,0,0.56,0,5.95,0,0,4.43
 60-70,0,0,0,1.33,0,0,0,0,1.16,0,0,0,0,3.3,0,0.99,0.65,1.5,0,0,0
 72-82,0,0,0.64,11.35,0,0,0,0,6.02,0.82,0,1.78,0,16.12,0,0,0.59,0.61,0,0,0
 84-94,0,0,0,0.62,1.05,0,0,0,5.9,0,0,0,0,0,5.19,0,2.15,0,0,2.02,0
 96-106,0,0,1.54,2.55,0,0,0,0,1.58,0,1.06,2.7,0,8.16,0,0,4.95,6.13,0,1.02,0
108-118,0,0,0,6.84,0,0,0.62,0,6.89,0,0,6.05,0,11.22,0.63,0.93,7.09,0.5,0.59,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0,0,11.87,0,0,0,0
