stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,9.97,19.53,35.71,0,10.1,0,0,0,0,0.85,0,0,0,0,0,0,5.02,0,0,263.3,430.46,3.81,0,0,131.83,0,4.13,0.9,6012.39,8.25,31.46,4062.01,21.47,0,0,0,0,0
 24-34,0,1.97,1.4,0,26.29,0,0,2.06,4.9,0,1.42,0,0,0,0,1.72,5.35,0,0,7.79,92.86,11.66,0,0,0,0,0,0,62.33,47.92,0,850.62,43.03,0,0,4.92,0,0
 36-46,0,0,0,0,208.25,0,0,1.03,0.91,0,0,0,0,0,0,0,18.75,0,0,2.31,132.87,2.18,0,0,0,0,2.79,0,0,11.83,0,5.84,22.11,0,0,0,0,0
 48-58,0,0,0,0,1345.31,0,0,1.32,13.54,0,0,0,0,0,0,0,44.45,0,0,6.68,477.5,4.34,0,0,0,0,1.58,0,0,4.57,0,0,38.03,0,0,0,0,0
 60-70,0,0,3.08,0,3344.92,0,0,4.57,21.94,0.89,0,2.46,0,0,0,0,90.7,0,10.38,6.58,961.77,12.14,4.26,2.6,0,1.22,0,0,0,0,0,0,44.1,0,0,2.66,0,10.82
 72-82,0,6.99,0.64,0,2100.23,0.75,3.5,5.69,43.2,0,0.6,0,0,0,0,3.06,115.43,0,12.75,2.52,921.84,1.24,2.86,5.76,0,0,0.57,0,0,0,0,0,32.12,0,0,1.13,4.97,1.14
 84-94,0,11.89,2.63,10.69,1858.14,0,0.91,5.02,23.43,2.86,0,0,0,1.29,0,0.82,105.29,2.28,2.56,5.69,705.17,8.89,0,5.55,0,0,3.92,0,0,0,0,0,32.12,0,3.79,0,2.48,0
 96-106,0,14.94,5.96,1.14,1306.85,0,2.09,1.54,17.49,0,2.72,5.19,0,0,0,0.59,73.83,0,0,0.87,448.03,3.08,0,0.59,0,0,4.3,0,0,0,0,0,24.4,2.03,0,1.28,0.63,8.85
108-118,0,14.6,7.34,0,1904.54,0,1.32,7.17,24.32,0,0.8,0.56,0,0.83,0.84,13.71,82.37,0,0,4.92,640.41,7.3,0,2.57,0,0,2.49,0,0,0,0,0,10.61,1.01,2.05,6.34,3.56,0
120,0,19.92,2.03,0,1149.3,0,1.55,11.62,36.78,5.26,0,0,1.45,0,0,14.51,100.55,2.91,7.23,2.81,1089.31,12.08,0,2.44,0,0,11.05,0,0,0,0,0,3.87,0,0,0,0,0
