stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,58.51,356.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,503.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,23.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758.85,0,0,0,85.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.41,0,0,14.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.86,4.9,0,0,9.83,0,0,0,7.44,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,18.65,10.27,3.34,0,0,0,0,0,368.86,0,3.19,0,0,0,289.42,0,0,79.47,117.61,15.3,0,0,0,0,3.48,17.78,0,1919.75,870.08,10.18,0,0,0,0,0
 24-34,0,0,0,10.94,35.4,6.55,279.36,0.85,0,0,1.01,158.06,0,3.3,0,6.87,0,21.28,0.76,0,204.97,236.64,0,3.36,0,0,0,15.09,4.66,0,950.73,1402.75,50.72,0,0,3.7,0,2.64
 36-46,0,0,0,0.57,6.73,18.74,280.75,4.42,0.67,1.9,0,104.78,0,0,0,0,5.42,12.07,0,2.66,43.72,112.47,0,0,0,0,0,2.95,0,0,412.57,110.77,44.92,0,0,1.4,0,3.59
 48-58,0,0,0,1.04,0.94,12.66,62.64,0,0.99,0,0,49.52,0,0,0.82,0,2.11,8.19,6.26,0,37.98,109.64,0,1.13,0,0,0.45,4.55,0,0,140.63,0,55.22,0,1.48,0,0,0
 60-70,0,0,0,0,0,1.11,84.53,0,1.83,0,0,9.63,0,0,0,0,0,13.15,0,0.79,36.57,29.03,0,0,2.13,0,1.71,7.7,0,0,56.26,0,44.23,0,0,0,0,0
 72-82,0,0,0,0,0.57,19.05,126.26,0,0,3.75,0,3.55,0,0,0,0,0,15.45,0,0,29.21,55.29,0,10.75,0,0,0.8,0,0,0,8.2,0,37.01,0,1.35,0,0,0
 84-94,0,0,0,0.72,4.61,8,134.34,0,0,2.16,0,8.62,1.88,0,0,0,0,23.38,0,4.89,18.39,71.9,0,0.92,0.74,0,6.83,0,0,0,17.81,0,24.66,3.72,1.9,0,0,0
 96-106,0,0,0,0,4,7.6,141.92,4.85,0,4.64,0,0,0,0,0,0,0,7.04,0,0,19.61,18.45,0,0,0,22.53,0,3.38,0,0,5.79,0,16.5,0,0,0,4.4,0
108-118,0,0,0,0,0,0.68,102.79,2.23,0,0,0,10.14,0,0,0,0.7,0,7.87,0,1.96,16.96,31.01,0,2.35,0,0,1.63,0,0,0,13.29,0,11.54,0,0,0,3.08,0
120,0,0,0,0,0,25.12,107.72,0,0,0,0,0,0,0,0,9.76,0,15.8,0,0,21.25,50.49,0,0,14.25,0,0,1.65,0,0,1.6,0,14.34,5.7,0,10.09,1.59,0
