stage,endoderm,epidermis,eye,fin_mesenchyme,glial,heart,immune,iridophores,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,6.42,0,0,0,50.11,0,0,0,0,0,0
 10-12,24.04,0,0,0,0,0,0,0,0,13.07,0,0,0,16.81,0,0,0,0,0,0
 14-21,1.82,0,0,0,0,0,0,0,0,16.09,0.85,2.28,0,0.87,0,0,40.36,0,0,0
 24-34,0,4.49,29.17,0,2.28,0,0,0,0.93,273.66,0,3.43,0,0,0,0,94.3,0,0,0
 36-46,0,0.62,208.29,0,1.3,0,0,0,0,423.62,0,1.42,0,0,0,0,36.08,0,0,0
 48-58,0,0.67,353.98,0,4.64,3.5,0,2.58,1.44,377.96,0,0,0,0,0.43,0.73,36.76,0,0,0
 60-70,0,5.77,210.38,0,0.87,1.55,0,0,4.39,446.69,0,0,0,0,0,0,37.59,0,0,0
 72-82,0,1.31,162.77,0.6,0,3,0,0,0,344.5,0,0.5,0,0,0,0,23.59,0,0,0
 84-94,0,0.7,159.19,1.21,9.66,2.12,0,1.81,0.57,365.06,0,0,0,0,0,0,28.86,1.08,4.36,0
 96-106,0,0.64,56.91,0,9.04,2.94,0,0,4.16,315.08,0,0,0.61,0,0,0,6.91,0,0,2.71
108-118,0,0,58.63,0,1.31,1.17,0.46,0,1.03,357.24,0,0,0,0,0.41,0,2.76,0,0.55,0
120,0,0,31.92,0,4.39,0,0,0,0,377.49,2.21,0,0,0,0,0,10.3,0,0,0
