stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  5-6,0,8.98,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0
  7-9,20.96,0,7.25,0,0,0,0,11.51,0,0,28.73,84.01,474.25,0,0,0,0,0,0
 10-12,14.67,7.27,20.85,0,0,0,0,4.76,0,0,53.82,133.15,675.45,0,9.83,30,0,16.23,0
 14-21,0,0,3.14,1.89,0,0,1.08,0,0,5.63,0,0,0,0,13.57,0,1.03,53.87,1.03
 24-34,0,0,1.41,0,0,0,0,0,6.09,16.12,0,0,0,0,0,0,0.63,9.16,0
 36-46,0,0,0,0,0,0,0,0,3.84,0.65,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.48,0,0,0,2.36,3.33,0.44,0,0,0.87,0,0,0,0,1.26
 60-70,0,0,0,0,10.93,0.89,0,0,0.88,0,7.99,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.67,0,1.79,0.54,0,0,0,0.51,0,0,0,0,0
 84-94,0,0,0,0,0.87,0,4.04,0,1.11,0,3.47,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.58,0,0,0,3.07,0,4.6,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.8,0.54,2.81,0,0,0,0,0,0,0,0
120,0,0,0,0,2.38,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0
