stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,12.23,0,0,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,10.14,0,0,0,150.6,0,0,0,0,0,69.15,0,0,0,0,0,0
 14-21,0,0.82,13.98,4.87,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,6.32,7.81,0,0,0,0,0,0,12.33,0,788.95,370.68,0,0,0,0,0,0
 24-34,0,0,0,5.55,0,0,5.19,0,0,0,0,0,0,0,2.67,0,0,0,0,0,2.79,0,0,4.3,34.77,0,1.56,0,0,0,3.52,0,0,901.78,4.62,3.85,0,0,0.64,0,0
 36-46,0,0,0,0,0,0,19.93,0,0,0,4.6,0,0,0,0,0,0,0,3.07,0,5.47,0,0,1.07,48.06,0,1.08,6.48,0,0,33.73,0,0,1128.8,0,16.89,0,0,1.37,0,0
 48-58,0,0,0,0,0,0,14.63,0.77,0,0,13.11,0,0.48,0,0,0,0,0,0,0,2.91,0,0,5.92,71.38,0,0.75,0,0,0,8.29,0,0,579.17,0,9.42,0,0,0.52,0,0
 60-70,0,0,0,0,0,0,38.99,159.13,5.01,0,5.63,0,0,0,0,0,0,0,0,9.71,7.45,0,0,21.71,56.67,0,0,0,18.64,0,15.37,0,0,280.83,0,1.31,0,0,0,0,0
 72-82,0,0,0,2.35,8.71,1.22,102.99,636.12,0,0.78,13.24,0,0,0,1.85,0.56,0,0,4.45,0,32.2,0,0,14.77,131.4,0,5.71,1.52,0,0,14.91,0,0,164.89,0,7.42,0,0,1.27,4.46,14.13
 84-94,0,2.68,0,8.75,19.84,0,162.12,874.57,1.68,2.01,19.51,0,0,0,0.69,0,0,1.71,1.64,4.96,63.5,0,2.5,59.59,191.59,0,4.07,1.18,0,0,39.15,0,0,840.77,0,8.28,0.62,1.25,3.75,1.95,8.24
 96-106,0,1.08,0,25.16,47.16,0,241.19,1046.65,2.49,18.57,102.24,5.09,0,4.09,2.79,2.29,9.58,0,59.68,0,128.88,5.46,16.95,70.05,352.49,2.84,10.72,1.49,0,1.96,47.5,0,0,1474.68,0,28.23,8.63,0.94,45.58,11.98,30.51
108-118,0,0,0,25.08,19.96,2.02,270.97,1719.98,4.39,2.03,70.17,10.38,0,1.62,4.65,6.98,4.58,0.91,10.76,4.13,95.71,7.82,2.05,46.18,314.81,0,1.89,4.84,8.11,10.52,26.78,0,0,1856.87,0,6.97,1.6,3.77,3.09,3.83,10.39
120,0,0,0,36.26,9.72,0,159.27,1304.62,0,0,72.23,4.13,0,0,10.59,0,8.36,0,15.08,0,82.62,0,0,24.48,285.31,0,0,2.3,0,0,13.33,0,1.14,693.97,0,4.07,0,0,16.28,4.27,0
